starttime	seconds	ctime	dtime	ttime	wait
Fri Dec 25 00:09:10 2020	1608854950	1	7	8	1
Fri Dec 25 00:09:10 2020	1608854950	5	13	18	12
Fri Dec 25 00:09:10 2020	1608854950	5	13	18	12
Fri Dec 25 00:09:10 2020	1608854950	5	13	18	12
Fri Dec 25 00:09:10 2020	1608854950	5	13	18	12
Fri Dec 25 00:09:10 2020	1608854950	5	13	18	12
Fri Dec 25 00:09:10 2020	1608854950	5	13	18	12
Fri Dec 25 00:09:10 2020	1608854950	5	13	18	12
Fri Dec 25 00:09:10 2020	1608854950	5	13	18	12
Fri Dec 25 00:09:12 2020	1608854952	2	17	18	17
Fri Dec 25 00:09:12 2020	1608854952	2	17	19	17
Fri Dec 25 00:09:12 2020	1608854952	2	17	19	17
Fri Dec 25 00:09:12 2020	1608854952	2	17	19	17
Fri Dec 25 00:09:12 2020	1608854952	2	17	19	17
Fri Dec 25 00:09:12 2020	1608854952	2	17	19	17
Fri Dec 25 00:09:12 2020	1608854952	2	17	19	17
Fri Dec 25 00:09:12 2020	1608854952	2	17	19	17
Fri Dec 25 00:09:12 2020	1608854952	2	17	19	17
Fri Dec 25 00:09:12 2020	1608854952	2	17	19	17
Fri Dec 25 00:09:12 2020	1608854952	2	18	19	18
Fri Dec 25 00:09:12 2020	1608854952	2	17	19	17
Fri Dec 25 00:09:12 2020	1608854952	2	17	19	17
Fri Dec 25 00:09:12 2020	1608854952	2	17	19	17
Fri Dec 25 00:09:12 2020	1608854952	2	18	19	17
Fri Dec 25 00:09:12 2020	1608854952	2	18	19	18
Fri Dec 25 00:09:12 2020	1608854952	1	18	19	18
Fri Dec 25 00:09:12 2020	1608854952	2	18	19	18
Fri Dec 25 00:09:12 2020	1608854952	2	18	20	18
Fri Dec 25 00:09:12 2020	1608854952	2	18	20	18
Fri Dec 25 00:09:12 2020	1608854952	2	18	20	18
Fri Dec 25 00:09:12 2020	1608854952	2	18	20	18
Fri Dec 25 00:09:12 2020	1608854952	2	18	20	17
Fri Dec 25 00:09:12 2020	1608854952	2	18	20	18
Fri Dec 25 00:09:12 2020	1608854952	1	18	20	18
Fri Dec 25 00:09:12 2020	1608854952	2	18	20	18
Fri Dec 25 00:09:12 2020	1608854952	2	18	20	18
Fri Dec 25 00:09:12 2020	1608854952	2	18	20	18
Fri Dec 25 00:09:12 2020	1608854952	2	18	20	18
Fri Dec 25 00:09:12 2020	1608854952	2	18	20	18
Fri Dec 25 00:09:12 2020	1608854952	2	18	20	18
Fri Dec 25 00:09:12 2020	1608854952	2	18	20	18
Fri Dec 25 00:09:12 2020	1608854952	2	18	20	18
Fri Dec 25 00:09:12 2020	1608854952	2	18	20	18
Fri Dec 25 00:09:12 2020	1608854952	2	18	20	18
Fri Dec 25 00:09:12 2020	1608854952	2	18	20	18
Fri Dec 25 00:09:12 2020	1608854952	2	18	20	18
Fri Dec 25 00:09:12 2020	1608854952	2	19	20	19
Fri Dec 25 00:09:12 2020	1608854952	2	19	20	19
Fri Dec 25 00:09:12 2020	1608854952	2	19	20	19
Fri Dec 25 00:09:12 2020	1608854952	2	19	20	19
Fri Dec 25 00:09:12 2020	1608854952	2	19	20	18
Fri Dec 25 00:09:12 2020	1608854952	2	19	21	19
Fri Dec 25 00:09:12 2020	1608854952	2	19	21	19
Fri Dec 25 00:09:12 2020	1608854952	2	19	21	19
