Percentage served,Time in ms
0,15.171
1,23.141
2,23.339
3,23.463
4,23.536
5,23.605
6,23.673
7,23.735
8,23.798
9,23.848
10,23.925
11,23.986
12,24.042
13,24.106
14,24.178
15,24.234
16,24.311
17,24.386
18,24.456
19,24.510
20,24.567
21,24.626
22,24.693
23,24.741
24,24.816
25,24.862
26,24.915
27,24.976
28,25.023
29,25.078
30,25.132
31,25.178
32,25.225
33,25.269
34,25.321
35,25.358
36,25.406
37,25.452
38,25.498
39,25.547
40,25.599
41,25.658
42,25.734
43,25.808
44,25.884
45,25.969
46,26.056
47,26.161
48,26.270
49,26.373
50,26.463
51,26.565
52,26.685
53,26.803
54,26.960
55,27.136
56,27.335
57,27.510
58,27.638
59,27.757
60,27.895
61,28.003
62,28.106
63,28.213
64,28.341
65,28.483
66,28.610
67,28.777
68,28.941
69,29.063
70,29.226
71,29.395
72,29.624
73,29.970
74,30.331
75,30.554
76,30.734
77,30.913
78,31.180
79,31.863
80,32.992
81,33.716
82,34.428
83,35.725
84,37.613
85,39.223
86,40.217
87,41.438
88,42.366
89,45.306
90,70.939
91,88.026
92,234.119
93,292.046
94,1033.634
95,1947.235
96,3560.606
97,3623.106
98,3714.822
99,3733.084
100,7522.798
