Percentage served,Time in ms
0,12.803
1,21.519
2,21.767
3,21.955
4,22.064
5,22.162
6,22.236
7,22.304
8,22.353
9,22.408
10,22.462
11,22.528
12,22.591
13,22.655
14,22.705
15,22.753
16,22.801
17,22.864
18,22.912
19,22.973
20,23.019
21,23.084
22,23.150
23,23.222
24,23.277
25,23.338
26,23.383
27,23.442
28,23.497
29,23.553
30,23.615
31,23.680
32,23.731
33,23.789
34,23.835
35,23.904
36,23.953
37,24.004
38,24.056
39,24.120
40,24.157
41,24.205
42,24.247
43,24.286
44,24.339
45,24.393
46,24.448
47,24.496
48,24.557
49,24.610
50,24.665
51,24.729
52,24.785
53,24.857
54,24.917
55,24.990
56,25.083
57,25.160
58,25.250
59,25.341
60,25.448
61,25.533
62,25.627
63,25.702
64,25.788
65,25.906
66,26.028
67,26.124
68,26.257
69,26.364
70,26.511
71,26.651
72,26.856
73,27.045
74,27.252
75,27.475
76,27.678
77,27.845
78,28.015
79,28.216
80,28.428
81,28.570
82,28.817
83,29.031
84,29.308
85,29.580
86,29.869
87,30.205
88,31.315
89,33.416
90,71.943
91,93.567
92,227.668
93,233.952
94,290.682
95,968.111
96,1772.369
97,1822.889
98,1939.968
99,7310.444
100,14239.012
