starttime	seconds	ctime	dtime	ttime	wait
Fri Dec 25 00:32:10 2020	1608856330	0	15	15	1
Fri Dec 25 00:32:12 2020	1608856332	1	18	19	17
Fri Dec 25 00:32:12 2020	1608856332	1	18	19	17
Fri Dec 25 00:32:12 2020	1608856332	1	18	19	18
Fri Dec 25 00:32:12 2020	1608856332	1	17	19	17
Fri Dec 25 00:32:12 2020	1608856332	2	17	19	17
Fri Dec 25 00:32:12 2020	1608856332	1	18	19	18
Fri Dec 25 00:32:12 2020	1608856332	1	18	19	18
Fri Dec 25 00:32:12 2020	1608856332	1	18	19	18
Fri Dec 25 00:32:12 2020	1608856332	2	17	19	17
Fri Dec 25 00:32:12 2020	1608856332	2	17	19	17
Fri Dec 25 00:32:12 2020	1608856332	1	18	19	18
Fri Dec 25 00:32:12 2020	1608856332	2	17	19	17
Fri Dec 25 00:32:12 2020	1608856332	1	18	19	18
Fri Dec 25 00:32:12 2020	1608856332	2	17	19	17
Fri Dec 25 00:32:12 2020	1608856332	1	18	19	18
Fri Dec 25 00:32:12 2020	1608856332	1	18	19	18
Fri Dec 25 00:32:12 2020	1608856332	1	18	19	18
Fri Dec 25 00:32:12 2020	1608856332	2	18	19	18
Fri Dec 25 00:32:12 2020	1608856332	2	18	19	18
Fri Dec 25 00:32:12 2020	1608856332	2	18	19	18
Fri Dec 25 00:32:12 2020	1608856332	2	18	20	18
Fri Dec 25 00:32:12 2020	1608856332	1	18	20	18
Fri Dec 25 00:32:12 2020	1608856332	1	18	20	18
Fri Dec 25 00:32:12 2020	1608856332	1	19	20	19
Fri Dec 25 00:32:12 2020	1608856332	1	19	20	19
Fri Dec 25 00:32:12 2020	1608856332	1	19	20	19
Fri Dec 25 00:32:12 2020	1608856332	1	19	20	19
Fri Dec 25 00:32:12 2020	1608856332	2	18	21	18
Fri Dec 25 00:32:11 2020	1608856331	1	20	21	20
Fri Dec 25 00:32:11 2020	1608856331	1	20	21	20
Fri Dec 25 00:32:12 2020	1608856332	2	19	21	19
Fri Dec 25 00:32:12 2020	1608856332	2	19	21	19
Fri Dec 25 00:32:12 2020	1608856332	1	20	21	19
Fri Dec 25 00:32:11 2020	1608856331	1	20	21	20
Fri Dec 25 00:32:11 2020	1608856331	1	20	21	20
Fri Dec 25 00:32:11 2020	1608856331	1	20	21	20
Fri Dec 25 00:32:11 2020	1608856331	1	20	21	20
Fri Dec 25 00:32:12 2020	1608856332	2	19	21	19
Fri Dec 25 00:32:12 2020	1608856332	1	20	21	20
Fri Dec 25 00:32:12 2020	1608856332	2	19	21	19
Fri Dec 25 00:32:12 2020	1608856332	2	19	21	19
Fri Dec 25 00:32:11 2020	1608856331	0	21	21	21
Fri Dec 25 00:32:11 2020	1608856331	0	21	21	21
Fri Dec 25 00:32:11 2020	1608856331	1	20	21	20
Fri Dec 25 00:32:12 2020	1608856332	2	19	21	19
Fri Dec 25 00:32:11 2020	1608856331	1	20	21	20
Fri Dec 25 00:32:11 2020	1608856331	1	20	21	20
Fri Dec 25 00:32:11 2020	1608856331	1	20	21	20
Fri Dec 25 00:32:11 2020	1608856331	1	20	21	20
Fri Dec 25 00:32:12 2020	1608856332	3	18	21	18
Fri Dec 25 00:32:11 2020	1608856331	1	20	21	20
Fri Dec 25 00:32:11 2020	1608856331	1	20	21	20
Fri Dec 25 00:32:12 2020	1608856332	2	19	21	19
Fri Dec 25 00:32:11 2020	1608856331	0	21	21	21
Fri Dec 25 00:32:11 2020	1608856331	1	20	21	20
Fri Dec 25 00:32:11 2020	1608856331	1	20	21	20
