starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 24 21:17:51 2020	1608844671	1	7	9	2
Thu Dec 24 21:17:51 2020	1608844671	6	9	15	9
Thu Dec 24 21:17:51 2020	1608844671	6	9	15	9
Thu Dec 24 21:17:51 2020	1608844671	6	9	15	9
Thu Dec 24 21:17:51 2020	1608844671	6	9	15	9
Thu Dec 24 21:17:51 2020	1608844671	6	9	15	9
Thu Dec 24 21:17:51 2020	1608844671	6	9	15	9
Thu Dec 24 21:17:51 2020	1608844671	6	9	15	9
Thu Dec 24 21:17:51 2020	1608844671	4	13	17	13
Thu Dec 24 21:17:51 2020	1608844671	4	13	17	13
Thu Dec 24 21:17:51 2020	1608844671	4	13	17	13
Thu Dec 24 21:17:52 2020	1608844672	2	16	18	16
Thu Dec 24 21:17:52 2020	1608844672	2	16	18	16
Thu Dec 24 21:17:52 2020	1608844672	2	16	18	16
Thu Dec 24 21:17:52 2020	1608844672	2	16	18	16
Thu Dec 24 21:17:52 2020	1608844672	2	16	18	16
Thu Dec 24 21:17:52 2020	1608844672	2	17	18	17
Thu Dec 24 21:17:52 2020	1608844672	2	17	18	17
Thu Dec 24 21:17:52 2020	1608844672	2	16	18	16
Thu Dec 24 21:17:52 2020	1608844672	2	17	18	17
Thu Dec 24 21:17:52 2020	1608844672	2	17	18	17
Thu Dec 24 21:17:52 2020	1608844672	2	17	18	17
Thu Dec 24 21:17:52 2020	1608844672	2	17	18	17
Thu Dec 24 21:17:52 2020	1608844672	2	17	19	17
Thu Dec 24 21:17:52 2020	1608844672	2	17	19	17
Thu Dec 24 21:17:52 2020	1608844672	2	17	19	17
Thu Dec 24 21:17:52 2020	1608844672	2	17	19	17
Thu Dec 24 21:17:52 2020	1608844672	2	17	19	17
Thu Dec 24 21:17:52 2020	1608844672	2	17	19	17
Thu Dec 24 21:17:52 2020	1608844672	2	17	19	17
Thu Dec 24 21:17:52 2020	1608844672	2	17	19	17
Thu Dec 24 21:17:52 2020	1608844672	2	17	19	17
Thu Dec 24 21:17:52 2020	1608844672	1	17	19	17
Thu Dec 24 21:17:52 2020	1608844672	2	17	19	17
Thu Dec 24 21:17:52 2020	1608844672	2	17	19	17
Thu Dec 24 21:17:52 2020	1608844672	2	17	19	17
Thu Dec 24 21:17:52 2020	1608844672	2	17	19	17
Thu Dec 24 21:17:52 2020	1608844672	2	17	19	17
Thu Dec 24 21:17:52 2020	1608844672	2	17	19	17
Thu Dec 24 21:17:52 2020	1608844672	2	17	19	17
Thu Dec 24 21:17:52 2020	1608844672	2	17	19	17
Thu Dec 24 21:17:52 2020	1608844672	2	18	19	18
Thu Dec 24 21:17:52 2020	1608844672	2	18	19	18
Thu Dec 24 21:17:52 2020	1608844672	2	17	19	17
Thu Dec 24 21:17:52 2020	1608844672	1	18	19	18
Thu Dec 24 21:17:52 2020	1608844672	2	18	19	18
Thu Dec 24 21:17:52 2020	1608844672	2	18	19	18
Thu Dec 24 21:17:52 2020	1608844672	2	17	19	17
Thu Dec 24 21:17:52 2020	1608844672	2	18	19	18
Thu Dec 24 21:17:52 2020	1608844672	2	18	19	18
Thu Dec 24 21:17:52 2020	1608844672	2	18	19	18
Thu Dec 24 21:17:52 2020	1608844672	2	18	20	18
Thu Dec 24 21:17:52 2020	1608844672	2	18	20	18
Thu Dec 24 21:17:52 2020	1608844672	2	18	20	18
Thu Dec 24 21:17:52 2020	1608844672	1	18	20	18
Thu Dec 24 21:17:52 2020	1608844672	2	18	20	18
Thu Dec 24 21:17:52 2020	1608844672	2	18	20	18
