Percentage served,Time in ms
0,11.706
1,22.262
2,23.249
3,23.861
4,24.211
5,24.387
6,24.501
7,24.582
8,24.664
9,24.733
10,24.788
11,24.847
12,24.906
13,24.948
14,24.999
15,25.041
16,25.081
17,25.122
18,25.163
19,25.202
20,25.253
21,25.294
22,25.336
23,25.380
24,25.418
25,25.453
26,25.498
27,25.539
28,25.573
29,25.615
30,25.655
31,25.693
32,25.729
33,25.765
34,25.810
35,25.854
36,25.903
37,25.946
38,25.986
39,26.037
40,26.078
41,26.126
42,26.171
43,26.214
44,26.262
45,26.309
46,26.354
47,26.404
48,26.447
49,26.500
50,26.558
51,26.605
52,26.651
53,26.698
54,26.762
55,26.819
56,26.876
57,26.944
58,27.007
59,27.091
60,27.171
61,27.284
62,27.361
63,27.472
64,27.563
65,27.674
66,27.843
67,28.035
68,28.301
69,28.648
70,29.052
71,29.670
72,30.007
73,30.359
74,30.661
75,31.020
76,31.586
77,32.436
78,33.686
79,34.384
80,34.806
81,35.359
82,35.995
83,36.647
84,37.216
85,37.816
86,38.593
87,39.054
88,39.709
89,42.290
90,44.688
91,46.614
92,49.015
93,55.162
94,59.496
95,235.958
96,450.256
97,1047.729
98,3446.074
99,3486.026
100,7054.750
