Percentage served,Time in ms
0,11.794
1,20.499
2,20.693
3,20.826
4,20.931
5,21.020
6,21.114
7,21.194
8,21.260
9,21.328
10,21.389
11,21.454
12,21.523
13,21.587
14,21.655
15,21.720
16,21.793
17,21.870
18,21.944
19,22.001
20,22.071
21,22.153
22,22.237
23,22.309
24,22.386
25,22.455
26,22.538
27,22.617
28,22.701
29,22.797
30,22.901
31,23.002
32,23.110
33,23.194
34,23.282
35,23.359
36,23.447
37,23.523
38,23.624
39,23.734
40,23.845
41,23.968
42,24.141
43,24.304
44,24.489
45,24.656
46,24.805
47,24.953
48,25.095
49,25.203
50,25.326
51,25.437
52,25.574
53,25.677
54,25.787
55,25.887
56,26.004
57,26.093
58,26.159
59,26.241
60,26.316
61,26.394
62,26.482
63,26.564
64,26.671
65,26.853
66,27.073
67,27.326
68,27.548
69,27.873
70,28.383
71,28.814
72,29.201
73,29.396
74,29.553
75,29.662
76,29.788
77,29.901
78,30.043
79,30.227
80,30.491
81,30.787
82,30.993
83,31.191
84,31.402
85,31.652
86,31.924
87,32.269
88,32.828
89,33.306
90,33.686
91,34.200
92,34.951
93,37.812
94,41.751
95,228.118
96,251.960
97,1037.393
98,4722.261
99,4785.743
100,6951.930
