starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 24 19:29:33 2020	1608838173	0	15	15	1
Thu Dec 24 19:29:34 2020	1608838174	1	21	22	21
Thu Dec 24 19:29:34 2020	1608838174	1	21	22	21
Thu Dec 24 19:29:34 2020	1608838174	1	21	22	21
Thu Dec 24 19:29:34 2020	1608838174	1	21	22	21
Thu Dec 24 19:29:34 2020	1608838174	1	21	22	21
Thu Dec 24 19:29:34 2020	1608838174	1	21	22	21
Thu Dec 24 19:29:34 2020	1608838174	1	21	22	21
Thu Dec 24 19:29:34 2020	1608838174	1	21	22	21
Thu Dec 24 19:29:34 2020	1608838174	1	21	22	21
Thu Dec 24 19:29:34 2020	1608838174	1	21	22	21
Thu Dec 24 19:29:34 2020	1608838174	1	21	22	21
Thu Dec 24 19:29:34 2020	1608838174	1	21	22	21
Thu Dec 24 19:29:34 2020	1608838174	1	21	22	21
Thu Dec 24 19:29:34 2020	1608838174	1	21	22	21
Thu Dec 24 19:29:34 2020	1608838174	1	21	22	21
Thu Dec 24 19:29:34 2020	1608838174	1	21	22	21
Thu Dec 24 19:29:34 2020	1608838174	1	22	22	21
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	1	21	23	21
Thu Dec 24 19:29:34 2020	1608838174	1	21	23	21
Thu Dec 24 19:29:34 2020	1608838174	1	21	23	21
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	2	21	23	21
Thu Dec 24 19:29:34 2020	1608838174	1	21	23	21
Thu Dec 24 19:29:34 2020	1608838174	1	21	23	21
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	21
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	1	21	23	21
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	21
Thu Dec 24 19:29:34 2020	1608838174	1	21	23	21
Thu Dec 24 19:29:34 2020	1608838174	1	21	23	21
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	1	21	23	21
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	2	21	23	21
Thu Dec 24 19:29:34 2020	1608838174	2	21	23	21
Thu Dec 24 19:29:34 2020	1608838174	2	21	23	21
Thu Dec 24 19:29:34 2020	1608838174	2	21	23	21
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	21
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	21
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	2	21	23	21
Thu Dec 24 19:29:34 2020	1608838174	2	21	23	21
Thu Dec 24 19:29:34 2020	1608838174	1	21	23	21
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	1	21	23	21
Thu Dec 24 19:29:34 2020	1608838174	2	21	23	21
Thu Dec 24 19:29:34 2020	1608838174	2	21	23	21
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	1	21	23	21
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	2	21	23	21
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	1	21	23	21
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	21
Thu Dec 24 19:29:34 2020	1608838174	2	21	23	21
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	1	22	23	22
Thu Dec 24 19:29:34 2020	1608838174	2	21	23	21
Thu Dec 24 19:29:34 2020	1608838174	2	21	23	21
