Percentage served,Time in ms
0,3.434
1,20.988
2,22.913
3,23.205
4,23.275
5,23.311
6,23.339
7,23.362
8,23.385
9,23.406
10,23.429
11,23.452
12,23.476
13,23.495
14,23.514
15,23.529
16,23.545
17,23.561
18,23.577
19,23.588
20,23.601
21,23.612
22,23.623
23,23.633
24,23.642
25,23.651
26,23.659
27,23.667
28,23.675
29,23.683
30,23.690
31,23.697
32,23.705
33,23.712
34,23.719
35,23.727
36,23.734
37,23.742
38,23.749
39,23.756
40,23.764
41,23.774
42,23.783
43,23.789
44,23.797
45,23.806
46,23.816
47,23.824
48,23.833
49,23.842
50,23.851
51,23.859
52,23.866
53,23.875
54,23.884
55,23.892
56,23.902
57,23.911
58,23.919
59,23.929
60,23.938
61,23.947
62,23.956
63,23.964
64,23.973
65,23.982
66,23.990
67,24.001
68,24.013
69,24.028
70,24.042
71,24.060
72,24.081
73,24.103
74,24.125
75,24.151
76,24.174
77,24.199
78,24.228
79,24.260
80,24.295
81,24.332
82,24.401
83,24.513
84,24.773
85,25.005
86,25.171
87,25.292
88,25.371
89,25.461
90,25.563
91,25.892
92,26.545
93,26.954
94,28.069
95,30.136
96,30.406
97,30.803
98,31.393
99,31.744
100,35.144
