starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 24 18:49:27 2020	1608835767	0	9	9	1
Thu Dec 24 18:49:29 2020	1608835769	0	26	26	26
Thu Dec 24 18:49:29 2020	1608835769	0	26	26	26
Thu Dec 24 18:49:29 2020	1608835769	0	26	26	26
Thu Dec 24 18:49:29 2020	1608835769	0	26	26	26
Thu Dec 24 18:49:29 2020	1608835769	0	26	26	26
Thu Dec 24 18:49:29 2020	1608835769	0	26	26	26
Thu Dec 24 18:49:29 2020	1608835769	0	26	26	26
Thu Dec 24 18:49:29 2020	1608835769	0	26	27	26
Thu Dec 24 18:49:29 2020	1608835769	0	26	27	26
Thu Dec 24 18:49:29 2020	1608835769	0	26	27	26
Thu Dec 24 18:49:29 2020	1608835769	0	26	27	26
Thu Dec 24 18:49:29 2020	1608835769	0	26	27	26
Thu Dec 24 18:49:29 2020	1608835769	0	26	27	26
Thu Dec 24 18:49:29 2020	1608835769	0	26	27	26
Thu Dec 24 18:49:29 2020	1608835769	0	26	27	26
Thu Dec 24 18:49:29 2020	1608835769	0	26	27	26
Thu Dec 24 18:49:29 2020	1608835769	0	26	27	26
Thu Dec 24 18:49:29 2020	1608835769	0	27	27	26
Thu Dec 24 18:49:29 2020	1608835769	0	27	27	27
Thu Dec 24 18:49:29 2020	1608835769	0	27	27	27
Thu Dec 24 18:49:29 2020	1608835769	0	27	27	27
Thu Dec 24 18:49:29 2020	1608835769	0	27	27	27
Thu Dec 24 18:49:29 2020	1608835769	0	27	27	27
Thu Dec 24 18:49:29 2020	1608835769	0	27	27	27
Thu Dec 24 18:49:29 2020	1608835769	0	27	27	27
Thu Dec 24 18:49:29 2020	1608835769	0	27	27	27
Thu Dec 24 18:49:29 2020	1608835769	0	27	27	27
Thu Dec 24 18:49:29 2020	1608835769	0	27	27	27
Thu Dec 24 18:49:29 2020	1608835769	0	27	27	27
Thu Dec 24 18:49:29 2020	1608835769	0	27	27	27
Thu Dec 24 18:49:29 2020	1608835769	0	27	27	27
Thu Dec 24 18:49:29 2020	1608835769	0	27	28	27
Thu Dec 24 18:49:29 2020	1608835769	0	27	28	27
Thu Dec 24 18:49:29 2020	1608835769	0	27	28	27
Thu Dec 24 18:49:29 2020	1608835769	0	27	28	27
Thu Dec 24 18:49:29 2020	1608835769	0	27	28	27
Thu Dec 24 18:49:29 2020	1608835769	0	27	28	27
Thu Dec 24 18:49:29 2020	1608835769	0	27	28	27
Thu Dec 24 18:49:29 2020	1608835769	0	28	28	28
Thu Dec 24 18:49:29 2020	1608835769	0	27	28	27
Thu Dec 24 18:49:29 2020	1608835769	0	28	28	28
Thu Dec 24 18:49:29 2020	1608835769	0	28	28	28
Thu Dec 24 18:49:29 2020	1608835769	0	28	28	28
Thu Dec 24 18:49:29 2020	1608835769	0	28	28	28
Thu Dec 24 18:49:29 2020	1608835769	0	28	28	28
Thu Dec 24 18:49:29 2020	1608835769	0	28	28	28
Thu Dec 24 18:49:29 2020	1608835769	0	28	28	28
Thu Dec 24 18:49:29 2020	1608835769	0	28	28	28
Thu Dec 24 18:49:29 2020	1608835769	0	28	28	28
Thu Dec 24 18:49:29 2020	1608835769	0	28	28	28
Thu Dec 24 18:49:29 2020	1608835769	0	28	28	28
Thu Dec 24 18:49:29 2020	1608835769	0	28	28	28
Thu Dec 24 18:49:29 2020	1608835769	0	28	28	28
Thu Dec 24 18:49:29 2020	1608835769	0	28	28	28
Thu Dec 24 18:49:29 2020	1608835769	0	28	28	28
Thu Dec 24 18:49:29 2020	1608835769	0	28	28	28
Thu Dec 24 18:49:29 2020	1608835769	0	28	29	28
Thu Dec 24 18:49:29 2020	1608835769	0	28	29	28
Thu Dec 24 18:49:29 2020	1608835769	0	28	29	28
Thu Dec 24 18:49:29 2020	1608835769	0	28	29	28
Thu Dec 24 18:49:29 2020	1608835769	0	28	29	28
Thu Dec 24 18:49:29 2020	1608835769	0	28	29	28
Thu Dec 24 18:49:29 2020	1608835769	0	28	29	28
Thu Dec 24 18:49:29 2020	1608835769	0	28	29	28
Thu Dec 24 18:49:29 2020	1608835769	0	28	29	28
Thu Dec 24 18:49:29 2020	1608835769	0	28	29	28
Thu Dec 24 18:49:29 2020	1608835769	0	29	29	28
Thu Dec 24 18:49:29 2020	1608835769	0	29	29	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	29	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	29	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	29	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	29	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	29	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	29	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	29	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	29	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	29	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	29	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	29	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	29	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	29	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	29	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	29	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	30	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	30	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	30	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	30	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	30	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	30	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	30	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	30	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	30	30	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	30	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	30	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	30	29
Thu Dec 24 18:49:29 2020	1608835769	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	30	30	30
Thu Dec 24 18:49:28 2020	1608835768	0	30	30	30
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	30	30	30
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:28 2020	1608835768	0	30	30	30
Thu Dec 24 18:49:29 2020	1608835769	0	30	30	30
Thu Dec 24 18:49:28 2020	1608835768	0	30	30	30
Thu Dec 24 18:49:29 2020	1608835769	0	30	30	30
Thu Dec 24 18:49:29 2020	1608835769	0	30	30	30
Thu Dec 24 18:49:28 2020	1608835768	0	29	30	29
Thu Dec 24 18:49:29 2020	1608835769	0	30	30	30
Thu Dec 24 18:49:28 2020	1608835768	0	30	30	30
Thu Dec 24 18:49:28 2020	1608835768	0	30	30	30
Thu Dec 24 18:49:28 2020	1608835768	0	30	30	30
