starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 24 19:05:14 2020	1608836714	1	3	4	1
Thu Dec 24 19:05:14 2020	1608836714	2	3	5	3
Thu Dec 24 19:05:14 2020	1608836714	2	3	5	3
Thu Dec 24 19:05:14 2020	1608836714	2	3	5	3
Thu Dec 24 19:05:14 2020	1608836714	2	5	7	5
Thu Dec 24 19:05:14 2020	1608836714	2	5	7	5
Thu Dec 24 19:05:14 2020	1608836714	2	5	7	5
Thu Dec 24 19:05:14 2020	1608836714	2	5	7	5
Thu Dec 24 19:05:14 2020	1608836714	2	5	7	5
Thu Dec 24 19:05:14 2020	1608836714	2	8	10	8
Thu Dec 24 19:05:14 2020	1608836714	2	8	10	8
Thu Dec 24 19:05:14 2020	1608836714	2	8	10	8
Thu Dec 24 19:05:14 2020	1608836714	2	8	10	8
Thu Dec 24 19:05:14 2020	1608836714	2	8	11	8
Thu Dec 24 19:05:14 2020	1608836714	2	8	11	8
Thu Dec 24 19:05:14 2020	1608836714	2	9	11	8
Thu Dec 24 19:05:14 2020	1608836714	2	9	11	9
Thu Dec 24 19:05:14 2020	1608836714	2	9	11	9
Thu Dec 24 19:05:14 2020	1608836714	2	9	11	9
Thu Dec 24 19:05:14 2020	1608836714	2	10	12	9
Thu Dec 24 19:05:14 2020	1608836714	2	10	12	10
Thu Dec 24 19:05:14 2020	1608836714	2	10	12	10
Thu Dec 24 19:05:14 2020	1608836714	2	10	12	10
Thu Dec 24 19:05:14 2020	1608836714	2	10	12	10
Thu Dec 24 19:05:14 2020	1608836714	2	10	12	10
Thu Dec 24 19:05:14 2020	1608836714	2	11	13	11
Thu Dec 24 19:05:14 2020	1608836714	2	11	13	11
Thu Dec 24 19:05:14 2020	1608836714	2	11	13	11
Thu Dec 24 19:05:14 2020	1608836714	2	11	13	11
Thu Dec 24 19:05:14 2020	1608836714	2	11	13	11
Thu Dec 24 19:05:14 2020	1608836714	2	12	13	11
Thu Dec 24 19:05:14 2020	1608836714	2	12	14	12
Thu Dec 24 19:05:14 2020	1608836714	2	12	14	12
Thu Dec 24 19:05:14 2020	1608836714	2	12	14	12
Thu Dec 24 19:05:14 2020	1608836714	2	12	14	12
Thu Dec 24 19:05:14 2020	1608836714	2	13	14	13
Thu Dec 24 19:05:14 2020	1608836714	2	13	15	13
Thu Dec 24 19:05:14 2020	1608836714	2	13	15	13
Thu Dec 24 19:05:14 2020	1608836714	2	13	15	13
Thu Dec 24 19:05:14 2020	1608836714	2	13	15	13
Thu Dec 24 19:05:14 2020	1608836714	2	14	15	14
Thu Dec 24 19:05:14 2020	1608836714	2	14	16	14
Thu Dec 24 19:05:14 2020	1608836714	2	14	16	14
Thu Dec 24 19:05:14 2020	1608836714	2	14	16	14
Thu Dec 24 19:05:14 2020	1608836714	2	15	16	15
Thu Dec 24 19:05:14 2020	1608836714	2	15	16	15
Thu Dec 24 19:05:14 2020	1608836714	2	15	17	15
Thu Dec 24 19:05:14 2020	1608836714	2	15	17	15
Thu Dec 24 19:05:14 2020	1608836714	2	15	17	15
Thu Dec 24 19:05:14 2020	1608836714	2	16	17	16
Thu Dec 24 19:05:14 2020	1608836714	2	16	18	16
Thu Dec 24 19:05:14 2020	1608836714	2	16	18	16
Thu Dec 24 19:05:14 2020	1608836714	2	16	18	16
Thu Dec 24 19:05:14 2020	1608836714	2	16	18	16
Thu Dec 24 19:05:14 2020	1608836714	2	16	18	16
Thu Dec 24 19:05:14 2020	1608836714	2	17	18	17
Thu Dec 24 19:05:16 2020	1608836716	1	18	18	17
Thu Dec 24 19:05:16 2020	1608836716	1	17	19	17
Thu Dec 24 19:05:16 2020	1608836716	1	17	19	17
Thu Dec 24 19:05:14 2020	1608836714	2	17	19	17
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:14 2020	1608836714	2	17	19	17
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:14 2020	1608836714	2	17	19	17
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	2	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:14 2020	1608836714	2	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:14 2020	1608836714	2	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	19	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	20	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	20	18
Thu Dec 24 19:05:16 2020	1608836716	2	18	20	18
Thu Dec 24 19:05:14 2020	1608836714	2	18	20	18
Thu Dec 24 19:05:16 2020	1608836716	1	18	20	18
Thu Dec 24 19:05:14 2020	1608836714	2	18	20	18
Thu Dec 24 19:05:16 2020	1608836716	1	19	20	19
Thu Dec 24 19:05:16 2020	1608836716	1	19	20	19
Thu Dec 24 19:05:16 2020	1608836716	1	19	20	19
Thu Dec 24 19:05:16 2020	1608836716	1	19	20	18
Thu Dec 24 19:05:16 2020	1608836716	1	19	20	19
Thu Dec 24 19:05:16 2020	1608836716	1	19	20	19
Thu Dec 24 19:05:16 2020	1608836716	1	19	20	19
Thu Dec 24 19:05:16 2020	1608836716	1	19	20	19
Thu Dec 24 19:05:14 2020	1608836714	2	18	20	18
Thu Dec 24 19:05:16 2020	1608836716	1	19	20	19
Thu Dec 24 19:05:16 2020	1608836716	1	19	20	19
Thu Dec 24 19:05:16 2020	1608836716	1	19	20	19
Thu Dec 24 19:05:16 2020	1608836716	1	19	20	19
Thu Dec 24 19:05:16 2020	1608836716	1	19	20	19
Thu Dec 24 19:05:14 2020	1608836714	1	19	20	19
Thu Dec 24 19:05:16 2020	1608836716	2	19	20	19
Thu Dec 24 19:05:16 2020	1608836716	1	19	20	19
Thu Dec 24 19:05:16 2020	1608836716	1	19	20	19
Thu Dec 24 19:05:16 2020	1608836716	1	19	20	19
Thu Dec 24 19:05:16 2020	1608836716	1	19	20	19
Thu Dec 24 19:05:16 2020	1608836716	1	19	20	19
Thu Dec 24 19:05:16 2020	1608836716	1	19	20	19
Thu Dec 24 19:05:16 2020	1608836716	1	19	20	19
Thu Dec 24 19:05:14 2020	1608836714	1	19	20	19
Thu Dec 24 19:05:16 2020	1608836716	1	19	20	19
Thu Dec 24 19:05:16 2020	1608836716	1	20	20	20
Thu Dec 24 19:05:16 2020	1608836716	1	20	20	20
Thu Dec 24 19:05:14 2020	1608836714	2	19	20	19
Thu Dec 24 19:05:16 2020	1608836716	1	20	20	20
Thu Dec 24 19:05:14 2020	1608836714	0	20	20	20
Thu Dec 24 19:05:16 2020	1608836716	1	20	21	20
Thu Dec 24 19:05:16 2020	1608836716	1	20	21	20
Thu Dec 24 19:05:16 2020	1608836716	1	20	21	20
Thu Dec 24 19:05:16 2020	1608836716	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	0	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	19	21	19
Thu Dec 24 19:05:16 2020	1608836716	1	20	21	20
Thu Dec 24 19:05:16 2020	1608836716	1	20	21	20
Thu Dec 24 19:05:16 2020	1608836716	1	20	21	20
Thu Dec 24 19:05:16 2020	1608836716	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	0	20	21	20
Thu Dec 24 19:05:16 2020	1608836716	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:16 2020	1608836716	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:15 2020	1608836715	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	0	21	21	20
Thu Dec 24 19:05:16 2020	1608836716	1	20	21	20
Thu Dec 24 19:05:15 2020	1608836715	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	19
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	20
Thu Dec 24 19:05:15 2020	1608836715	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:16 2020	1608836716	1	20	21	20
Thu Dec 24 19:05:16 2020	1608836716	1	21	21	21
Thu Dec 24 19:05:16 2020	1608836716	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	21
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	21
Thu Dec 24 19:05:14 2020	1608836714	2	19	21	19
Thu Dec 24 19:05:16 2020	1608836716	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:16 2020	1608836716	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	0	21	21	21
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	21
Thu Dec 24 19:05:16 2020	1608836716	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	20
Thu Dec 24 19:05:16 2020	1608836716	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	21
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:15 2020	1608836715	1	21	21	21
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:15 2020	1608836715	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	21
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:16 2020	1608836716	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:15 2020	1608836715	1	20	21	20
Thu Dec 24 19:05:15 2020	1608836715	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	21
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	21
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	0	21	21	21
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:16 2020	1608836716	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	21
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:15 2020	1608836715	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	21
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:16 2020	1608836716	1	21	21	21
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	21
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	21
Thu Dec 24 19:05:15 2020	1608836715	1	20	21	20
Thu Dec 24 19:05:16 2020	1608836716	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	21
Thu Dec 24 19:05:15 2020	1608836715	0	21	21	21
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	21
Thu Dec 24 19:05:14 2020	1608836714	0	21	21	21
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	21
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	21
Thu Dec 24 19:05:15 2020	1608836715	1	21	21	21
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	20
Thu Dec 24 19:05:15 2020	1608836715	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	21
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	21
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	21
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	20
Thu Dec 24 19:05:16 2020	1608836716	1	21	21	21
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	21
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	21
Thu Dec 24 19:05:14 2020	1608836714	0	21	21	21
Thu Dec 24 19:05:15 2020	1608836715	1	20	21	20
Thu Dec 24 19:05:15 2020	1608836715	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
Thu Dec 24 19:05:14 2020	1608836714	1	21	21	21
Thu Dec 24 19:05:14 2020	1608836714	1	20	21	20
