Percentage served,Time in ms
0,22.629
1,27.041
2,27.995
3,28.542
4,28.833
5,29.169
6,29.421
7,29.753
8,30.000
9,30.227
10,30.450
11,30.651
12,30.914
13,31.090
14,31.327
15,31.504
16,31.679
17,31.893
18,32.104
19,32.256
20,32.451
21,32.644
22,32.790
23,32.977
24,33.201
25,33.424
26,33.545
27,33.697
28,33.842
29,34.035
30,34.211
31,34.384
32,34.518
33,34.621
34,34.834
35,35.038
36,35.215
37,35.370
38,35.521
39,35.682
40,35.823
41,35.951
42,36.088
43,36.259
44,36.417
45,36.550
46,36.714
47,36.923
48,37.135
49,37.354
50,37.563
51,37.773
52,38.037
53,38.270
54,38.432
55,38.652
56,38.895
57,39.123
58,39.345
59,39.589
60,39.845
61,40.153
62,40.345
63,40.573
64,40.793
65,41.025
66,41.338
67,41.627
68,41.883
69,42.178
70,42.685
71,42.998
72,43.353
73,43.757
74,44.243
75,44.796
76,45.438
77,45.958
78,47.206
79,49.309
80,52.370
81,60.800
82,79.251
83,233.248
84,239.543
85,243.836
86,249.715
87,255.119
88,263.360
89,275.044
90,466.774
91,509.275
92,928.121
93,1061.089
94,1081.321
95,1268.627
96,1691.571
97,2680.770
98,5455.477
99,7024.751
100,13550.515
