starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 24 20:00:16 2020	1608840016	1	9	10	1
Thu Dec 24 20:00:17 2020	1608840017	1	13	15	13
Thu Dec 24 20:00:17 2020	1608840017	1	13	15	13
Thu Dec 24 20:00:17 2020	1608840017	1	13	15	13
Thu Dec 24 20:00:17 2020	1608840017	1	13	15	13
Thu Dec 24 20:00:17 2020	1608840017	1	13	15	13
Thu Dec 24 20:00:17 2020	1608840017	1	13	15	13
Thu Dec 24 20:00:17 2020	1608840017	1	14	15	13
Thu Dec 24 20:00:17 2020	1608840017	1	14	15	14
Thu Dec 24 20:00:17 2020	1608840017	1	14	15	14
Thu Dec 24 20:00:17 2020	1608840017	2	14	15	14
Thu Dec 24 20:00:17 2020	1608840017	1	14	15	14
Thu Dec 24 20:00:17 2020	1608840017	2	14	15	14
Thu Dec 24 20:00:17 2020	1608840017	1	14	15	14
Thu Dec 24 20:00:17 2020	1608840017	1	14	15	14
Thu Dec 24 20:00:17 2020	1608840017	1	14	15	14
Thu Dec 24 20:00:17 2020	1608840017	1	14	15	14
Thu Dec 24 20:00:17 2020	1608840017	1	14	16	14
Thu Dec 24 20:00:17 2020	1608840017	1	14	16	14
Thu Dec 24 20:00:17 2020	1608840017	1	14	16	14
Thu Dec 24 20:00:17 2020	1608840017	2	14	16	14
Thu Dec 24 20:00:17 2020	1608840017	1	15	16	15
Thu Dec 24 20:00:17 2020	1608840017	1	15	16	15
Thu Dec 24 20:00:17 2020	1608840017	1	15	16	15
Thu Dec 24 20:00:17 2020	1608840017	2	14	16	14
Thu Dec 24 20:00:17 2020	1608840017	2	14	16	14
Thu Dec 24 20:00:17 2020	1608840017	1	15	16	15
Thu Dec 24 20:00:17 2020	1608840017	1	15	16	15
Thu Dec 24 20:00:17 2020	1608840017	1	15	16	15
Thu Dec 24 20:00:17 2020	1608840017	2	14	16	14
Thu Dec 24 20:00:17 2020	1608840017	2	14	16	14
Thu Dec 24 20:00:17 2020	1608840017	2	15	16	15
Thu Dec 24 20:00:17 2020	1608840017	1	15	16	15
Thu Dec 24 20:00:17 2020	1608840017	1	15	17	15
Thu Dec 24 20:00:17 2020	1608840017	1	15	17	15
Thu Dec 24 20:00:17 2020	1608840017	1	15	17	15
Thu Dec 24 20:00:17 2020	1608840017	1	15	17	15
Thu Dec 24 20:00:17 2020	1608840017	1	15	17	15
Thu Dec 24 20:00:17 2020	1608840017	1	15	17	15
Thu Dec 24 20:00:17 2020	1608840017	2	15	17	15
Thu Dec 24 20:00:17 2020	1608840017	1	15	17	15
Thu Dec 24 20:00:17 2020	1608840017	2	15	17	15
Thu Dec 24 20:00:17 2020	1608840017	1	16	17	16
Thu Dec 24 20:00:17 2020	1608840017	1	16	17	16
Thu Dec 24 20:00:17 2020	1608840017	1	16	17	16
Thu Dec 24 20:00:17 2020	1608840017	1	16	17	16
Thu Dec 24 20:00:17 2020	1608840017	1	16	17	16
Thu Dec 24 20:00:17 2020	1608840017	1	16	17	16
Thu Dec 24 20:00:17 2020	1608840017	1	16	17	16
Thu Dec 24 20:00:17 2020	1608840017	1	16	17	16
Thu Dec 24 20:00:17 2020	1608840017	1	16	17	16
Thu Dec 24 20:00:17 2020	1608840017	1	16	17	16
Thu Dec 24 20:00:17 2020	1608840017	2	16	17	16
Thu Dec 24 20:00:17 2020	1608840017	2	16	17	16
Thu Dec 24 20:00:17 2020	1608840017	2	16	17	16
Thu Dec 24 20:00:17 2020	1608840017	1	16	17	16
Thu Dec 24 20:00:17 2020	1608840017	1	16	17	16
Thu Dec 24 20:00:17 2020	1608840017	2	16	17	16
Thu Dec 24 20:00:17 2020	1608840017	2	16	17	16
Thu Dec 24 20:00:17 2020	1608840017	1	16	17	16
Thu Dec 24 20:00:17 2020	1608840017	1	16	18	16
Thu Dec 24 20:00:17 2020	1608840017	2	16	18	16
Thu Dec 24 20:00:17 2020	1608840017	1	16	18	16
Thu Dec 24 20:00:17 2020	1608840017	1	16	18	16
Thu Dec 24 20:00:17 2020	1608840017	1	16	18	16
Thu Dec 24 20:00:17 2020	1608840017	2	16	18	16
Thu Dec 24 20:00:17 2020	1608840017	1	16	18	16
Thu Dec 24 20:00:17 2020	1608840017	1	16	18	16
Thu Dec 24 20:00:17 2020	1608840017	1	17	18	17
Thu Dec 24 20:00:17 2020	1608840017	1	17	18	17
Thu Dec 24 20:00:17 2020	1608840017	1	16	18	16
Thu Dec 24 20:00:17 2020	1608840017	1	16	18	16
Thu Dec 24 20:00:17 2020	1608840017	1	16	18	16
Thu Dec 24 20:00:17 2020	1608840017	1	17	18	17
Thu Dec 24 20:00:17 2020	1608840017	1	17	18	17
Thu Dec 24 20:00:17 2020	1608840017	1	17	18	17
Thu Dec 24 20:00:17 2020	1608840017	1	17	18	17
Thu Dec 24 20:00:17 2020	1608840017	1	17	18	17
