Percentage served,Time in ms
0,12.229
1,20.440
2,20.815
3,21.109
4,21.254
5,21.351
6,21.420
7,21.475
8,21.539
9,21.600
10,21.667
11,21.724
12,21.767
13,21.805
14,21.868
15,21.935
16,21.992
17,22.052
18,22.108
19,22.162
20,22.220
21,22.272
22,22.330
23,22.390
24,22.442
25,22.521
26,22.590
27,22.676
28,22.776
29,22.891
30,23.023
31,23.163
32,23.492
33,24.524
34,26.507
35,27.655
36,29.253
37,30.717
38,33.220
39,33.842
40,34.179
41,34.546
42,34.878
43,35.100
44,35.343
45,35.522
46,35.637
47,35.765
48,35.853
49,35.970
50,36.084
51,36.219
52,36.319
53,36.403
54,36.505
55,36.598
56,36.671
57,36.808
58,36.934
59,37.068
60,37.169
61,37.276
62,37.365
63,37.459
64,37.606
65,37.713
66,37.808
67,37.875
68,37.931
69,38.050
70,38.158
71,38.273
72,38.359
73,38.461
74,38.597
75,38.744
76,38.894
77,39.089
78,39.315
79,39.440
80,39.635
81,39.877
82,40.114
83,40.390
84,40.701
85,41.008
86,42.224
87,44.252
88,46.346
89,48.316
90,63.267
91,226.894
92,239.608
93,242.298
94,247.541
95,427.413
96,1049.342
97,3484.826
98,3497.647
99,3553.558
100,7010.268
