Percentage served,Time in ms
0,3.459
1,14.106
2,14.635
3,14.802
4,14.891
5,14.947
6,15.005
7,15.044
8,15.085
9,15.121
10,15.155
11,15.187
12,15.215
13,15.240
14,15.265
15,15.286
16,15.305
17,15.322
18,15.339
19,15.354
20,15.366
21,15.381
22,15.395
23,15.408
24,15.424
25,15.443
26,15.458
27,15.476
28,15.493
29,15.508
30,15.519
31,15.533
32,15.545
33,15.559
34,15.571
35,15.583
36,15.596
37,15.609
38,15.624
39,15.635
40,15.647
41,15.657
42,15.668
43,15.681
44,15.691
45,15.704
46,15.715
47,15.729
48,15.742
49,15.755
50,15.768
51,15.780
52,15.793
53,15.807
54,15.822
55,15.837
56,15.850
57,15.862
58,15.876
59,15.891
60,15.904
61,15.915
62,15.927
63,15.941
64,15.956
65,15.971
66,15.985
67,15.998
68,16.014
69,16.031
70,16.049
71,16.066
72,16.082
73,16.097
74,16.114
75,16.133
76,16.150
77,16.167
78,16.188
79,16.208
80,16.228
81,16.249
82,16.272
83,16.295
84,16.319
85,16.345
86,16.377
87,16.420
88,16.459
89,16.512
90,16.565
91,16.636
92,16.712
93,16.822
94,16.921
95,17.050
96,17.210
97,17.356
98,17.572
99,17.965
100,20.975
