Percentage served,Time in ms
0,4.518
1,20.058
2,21.408
3,22.134
4,22.405
5,22.614
6,22.755
7,22.914
8,23.044
9,23.198
10,23.306
11,23.452
12,23.548
13,23.614
14,23.670
15,23.742
16,23.804
17,23.881
18,23.943
19,24.022
20,24.084
21,24.141
22,24.231
23,24.305
24,24.380
25,24.433
26,24.498
27,24.575
28,24.657
29,24.741
30,24.815
31,24.905
32,24.994
33,25.064
34,25.123
35,25.179
36,25.236
37,25.349
38,25.452
39,25.574
40,25.661
41,25.779
42,25.877
43,25.979
44,26.072
45,26.199
46,26.311
47,26.392
48,26.522
49,26.642
50,26.744
51,26.841
52,26.988
53,27.125
54,27.251
55,27.432
56,27.590
57,27.842
58,28.036
59,28.297
60,28.480
61,28.708
62,28.967
63,29.323
64,29.537
65,29.833
66,30.073
67,30.365
68,30.694
69,30.975
70,31.251
71,31.508
72,31.783
73,32.036
74,32.381
75,32.637
76,32.865
77,33.058
78,33.272
79,33.464
80,33.719
81,34.011
82,34.297
83,34.587
84,34.888
85,35.261
86,35.569
87,35.930
88,36.258
89,36.573
90,36.889
91,37.119
92,37.534
93,37.982
94,38.618
95,39.517
96,43.489
97,48.663
98,225.683
99,249.450
100,1744.623
