Percentage served,Time in ms
0,20.033
1,22.119
2,23.141
3,23.358
4,23.514
5,23.619
6,23.731
7,23.828
8,23.935
9,24.029
10,24.109
11,24.181
12,24.251
13,24.326
14,24.388
15,24.474
16,24.562
17,24.646
18,24.712
19,24.773
20,24.853
21,24.910
22,24.983
23,25.043
24,25.097
25,25.152
26,25.202
27,25.242
28,25.280
29,25.336
30,25.376
31,25.408
32,25.453
33,25.493
34,25.535
35,25.565
36,25.603
37,25.640
38,25.680
39,25.709
40,25.747
41,25.792
42,25.832
43,25.871
44,25.906
45,25.951
46,25.978
47,26.011
48,26.056
49,26.092
50,26.134
51,26.177
52,26.212
53,26.260
54,26.293
55,26.341
56,26.384
57,26.436
58,26.481
59,26.519
60,26.555
61,26.613
62,26.662
63,26.721
64,26.792
65,26.890
66,26.993
67,27.160
68,27.398
69,27.712
70,28.171
71,28.708
72,29.066
73,29.304
74,29.526
75,29.785
76,30.158
77,30.559
78,30.999
79,31.677
80,32.913
81,33.638
82,37.006
83,54.705
84,61.875
85,69.528
86,231.958
87,257.725
88,436.396
89,483.376
90,898.003
91,904.883
92,919.753
93,930.962
94,937.643
95,8915.169
96,8921.151
97,13824.373
98,13832.655
99,14071.250
100,14330.408
