starttime	seconds	ctime	dtime	ttime	wait
Sun Dec 27 17:09:16 2020	1609088956	1	15	16	1
Sun Dec 27 17:09:17 2020	1609088957	3	18	21	18
Sun Dec 27 17:09:17 2020	1609088957	3	18	21	18
Sun Dec 27 17:09:17 2020	1609088957	3	18	21	18
Sun Dec 27 17:09:17 2020	1609088957	3	19	21	19
Sun Dec 27 17:09:17 2020	1609088957	2	19	21	19
Sun Dec 27 17:09:17 2020	1609088957	2	19	21	19
Sun Dec 27 17:09:17 2020	1609088957	1	20	22	20
Sun Dec 27 17:09:17 2020	1609088957	2	20	22	20
Sun Dec 27 17:09:17 2020	1609088957	2	19	22	19
Sun Dec 27 17:09:17 2020	1609088957	2	20	22	20
Sun Dec 27 17:09:17 2020	1609088957	1	20	22	20
Sun Dec 27 17:09:17 2020	1609088957	2	20	22	20
Sun Dec 27 17:09:17 2020	1609088957	1	20	22	20
Sun Dec 27 17:09:17 2020	1609088957	2	20	22	20
Sun Dec 27 17:09:17 2020	1609088957	2	21	22	21
Sun Dec 27 17:09:17 2020	1609088957	2	20	22	20
Sun Dec 27 17:09:17 2020	1609088957	2	21	22	21
Sun Dec 27 17:09:17 2020	1609088957	1	21	22	21
Sun Dec 27 17:09:17 2020	1609088957	2	20	22	20
Sun Dec 27 17:09:17 2020	1609088957	1	21	22	21
Sun Dec 27 17:09:17 2020	1609088957	2	21	22	21
Sun Dec 27 17:09:17 2020	1609088957	1	21	23	21
Sun Dec 27 17:09:17 2020	1609088957	2	21	23	21
Sun Dec 27 17:09:17 2020	1609088957	2	21	23	21
Sun Dec 27 17:09:17 2020	1609088957	1	21	23	21
Sun Dec 27 17:09:17 2020	1609088957	1	21	23	21
Sun Dec 27 17:09:17 2020	1609088957	1	21	23	21
Sun Dec 27 17:09:17 2020	1609088957	2	21	23	21
Sun Dec 27 17:09:17 2020	1609088957	2	21	23	21
Sun Dec 27 17:09:17 2020	1609088957	1	22	23	22
Sun Dec 27 17:09:17 2020	1609088957	2	21	23	21
Sun Dec 27 17:09:16 2020	1609088956	1	22	23	22
Sun Dec 27 17:09:17 2020	1609088957	1	22	23	22
Sun Dec 27 17:09:16 2020	1609088956	1	22	23	22
Sun Dec 27 17:09:16 2020	1609088956	1	22	23	22
Sun Dec 27 17:09:16 2020	1609088956	1	22	23	22
Sun Dec 27 17:09:17 2020	1609088957	2	22	23	22
Sun Dec 27 17:09:17 2020	1609088957	1	22	23	22
Sun Dec 27 17:09:16 2020	1609088956	1	22	23	22
Sun Dec 27 17:09:16 2020	1609088956	1	22	23	22
Sun Dec 27 17:09:17 2020	1609088957	2	22	23	22
Sun Dec 27 17:09:16 2020	1609088956	1	22	23	22
Sun Dec 27 17:09:17 2020	1609088957	1	22	23	22
Sun Dec 27 17:09:17 2020	1609088957	1	22	23	22
Sun Dec 27 17:09:16 2020	1609088956	1	22	23	22
Sun Dec 27 17:09:17 2020	1609088957	1	22	23	22
Sun Dec 27 17:09:16 2020	1609088956	1	22	23	22
Sun Dec 27 17:09:16 2020	1609088956	1	22	23	22
Sun Dec 27 17:09:16 2020	1609088956	1	22	23	22
Sun Dec 27 17:09:16 2020	1609088956	1	22	23	22
Sun Dec 27 17:09:16 2020	1609088956	1	22	23	22
Sun Dec 27 17:09:17 2020	1609088957	1	22	23	22
Sun Dec 27 17:09:16 2020	1609088956	1	22	23	22
Sun Dec 27 17:09:17 2020	1609088957	1	22	23	22
Sun Dec 27 17:09:16 2020	1609088956	1	22	23	22
Sun Dec 27 17:09:17 2020	1609088957	1	22	23	22
Sun Dec 27 17:09:17 2020	1609088957	1	22	23	22
Sun Dec 27 17:09:16 2020	1609088956	1	22	23	22
Sun Dec 27 17:09:16 2020	1609088956	1	22	23	22
Sun Dec 27 17:09:17 2020	1609088957	1	22	23	22
