Percentage served,Time in ms
0,13.699
1,19.958
2,21.538
3,21.937
4,22.105
5,22.175
6,22.231
7,22.271
8,22.299
9,22.319
10,22.338
11,22.361
12,22.384
13,22.404
14,22.418
15,22.434
16,22.443
17,22.455
18,22.465
19,22.481
20,22.494
21,22.505
22,22.517
23,22.528
24,22.538
25,22.551
26,22.561
27,22.575
28,22.582
29,22.594
30,22.606
31,22.619
32,22.632
33,22.641
34,22.652
35,22.666
36,22.676
37,22.691
38,22.703
39,22.720
40,22.734
41,22.745
42,22.763
43,22.780
44,22.791
45,22.805
46,22.822
47,22.836
48,22.853
49,22.874
50,22.892
51,22.912
52,22.932
53,22.958
54,22.983
55,23.017
56,23.048
57,23.083
58,23.125
59,23.174
60,23.235
61,23.301
62,23.368
63,23.463
64,23.542
65,23.660
66,23.788
67,23.946
68,24.134
69,24.336
70,24.557
71,24.812
72,25.163
73,26.192
74,26.940
75,27.268
76,27.573
77,27.935
78,28.199
79,28.711
80,30.148
81,30.591
82,31.315
83,51.641
84,88.658
85,103.398
86,204.135
87,269.767
88,501.861
89,872.403
90,940.265
91,948.011
92,962.686
93,969.701
94,977.504
95,990.405
96,998.879
97,1054.724
98,1835.470
99,1891.570
100,1897.436
