Percentage served,Time in ms
0,9.445
1,18.771
2,21.566
3,21.937
4,22.087
5,22.200
6,22.289
7,22.358
8,22.418
9,22.486
10,22.535
11,22.589
12,22.642
13,22.687
14,22.741
15,22.780
16,22.824
17,22.872
18,22.907
19,22.942
20,22.984
21,23.019
22,23.068
23,23.101
24,23.139
25,23.179
26,23.229
27,23.259
28,23.294
29,23.322
30,23.354
31,23.390
32,23.435
33,23.474
34,23.505
35,23.549
36,23.579
37,23.620
38,23.665
39,23.703
40,23.747
41,23.783
42,23.825
43,23.862
44,23.915
45,23.962
46,24.001
47,24.053
48,24.109
49,24.153
50,24.200
51,24.242
52,24.298
53,24.342
54,24.398
55,24.465
56,24.556
57,24.641
58,24.718
59,24.797
60,24.874
61,24.959
62,25.023
63,25.112
64,25.209
65,25.283
66,25.360
67,25.453
68,25.543
69,25.645
70,25.779
71,25.925
72,26.092
73,26.233
74,26.436
75,26.626
76,26.964
77,27.424
78,27.828
79,28.106
80,28.601
81,28.878
82,29.059
83,29.223
84,29.396
85,29.656
86,29.912
87,30.290
88,31.033
89,43.048
90,51.380
91,61.429
92,226.918
93,261.930
94,499.212
95,875.077
96,901.998
97,911.028
98,940.322
99,949.876
100,961.131
