Percentage served,Time in ms
0,7.866
1,30.009
2,31.032
3,31.224
4,31.330
5,31.398
6,31.450
7,31.506
8,31.575
9,31.651
10,31.700
11,31.735
12,31.757
13,31.775
14,31.797
15,31.814
16,31.833
17,31.846
18,31.859
19,31.872
20,31.890
21,31.901
22,31.917
23,31.934
24,31.954
25,31.969
26,31.983
27,31.996
28,32.009
29,32.020
30,32.037
31,32.055
32,32.071
33,32.086
34,32.104
35,32.127
36,32.142
37,32.158
38,32.178
39,32.192
40,32.209
41,32.231
42,32.256
43,32.283
44,32.307
45,32.332
46,32.356
47,32.385
48,32.412
49,32.437
50,32.470
51,32.506
52,32.547
53,32.587
54,32.659
55,32.725
56,32.779
57,32.804
58,32.837
59,32.862
60,32.889
61,32.911
62,32.937
63,32.960
64,32.988
65,33.025
66,33.084
67,33.165
68,33.313
69,33.492
70,33.636
71,33.749
72,33.849
73,33.934
74,34.007
75,34.108
76,34.203
77,34.371
78,34.567
79,34.744
80,34.841
81,34.915
82,35.056
83,35.213
84,35.559
85,35.921
86,36.549
87,36.655
88,36.756
89,38.219
90,40.869
91,48.735
92,59.781
93,76.189
94,238.602
95,448.555
96,962.123
97,1797.703
98,1807.492
99,1837.614
100,1846.937
