Percentage served,Time in ms
0,3.404
1,18.307
2,20.775
3,22.168
4,22.337
5,22.410
6,22.469
7,22.504
8,22.525
9,22.549
10,22.578
11,22.597
12,22.618
13,22.635
14,22.648
15,22.661
16,22.677
17,22.691
18,22.704
19,22.717
20,22.729
21,22.740
22,22.751
23,22.762
24,22.774
25,22.784
26,22.795
27,22.807
28,22.816
29,22.828
30,22.838
31,22.847
32,22.857
33,22.867
34,22.876
35,22.884
36,22.893
37,22.903
38,22.910
39,22.920
40,22.930
41,22.940
42,22.948
43,22.958
44,22.967
45,22.974
46,22.981
47,22.988
48,22.995
49,23.005
50,23.012
51,23.021
52,23.030
53,23.039
54,23.047
55,23.055
56,23.066
57,23.075
58,23.084
59,23.093
60,23.103
61,23.110
62,23.118
63,23.127
64,23.138
65,23.146
66,23.154
67,23.165
68,23.175
69,23.185
70,23.197
71,23.207
72,23.217
73,23.229
74,23.240
75,23.256
76,23.267
77,23.288
78,23.309
79,23.327
80,23.351
81,23.380
82,23.419
83,23.454
84,23.498
85,23.543
86,23.593
87,23.645
88,23.703
89,23.774
90,23.843
91,23.907
92,23.969
93,24.042
94,24.147
95,24.224
96,24.314
97,24.475
98,24.686
99,25.290
100,29.768
