starttime	seconds	ctime	dtime	ttime	wait
Sun Dec 27 15:51:54 2020	1609084314	1	3	3	1
Sun Dec 27 15:51:54 2020	1609084314	2	4	6	4
Sun Dec 27 15:51:54 2020	1609084314	2	4	6	4
Sun Dec 27 15:51:54 2020	1609084314	2	5	7	5
Sun Dec 27 15:51:54 2020	1609084314	2	5	7	5
Sun Dec 27 15:51:54 2020	1609084314	2	5	7	5
Sun Dec 27 15:51:54 2020	1609084314	2	5	7	5
Sun Dec 27 15:51:54 2020	1609084314	2	7	9	7
Sun Dec 27 15:51:54 2020	1609084314	2	8	9	8
Sun Dec 27 15:51:54 2020	1609084314	2	8	10	8
Sun Dec 27 15:51:54 2020	1609084314	2	8	10	8
Sun Dec 27 15:51:54 2020	1609084314	2	8	10	8
Sun Dec 27 15:51:54 2020	1609084314	2	9	10	9
Sun Dec 27 15:51:54 2020	1609084314	2	9	11	9
Sun Dec 27 15:51:54 2020	1609084314	2	9	11	9
Sun Dec 27 15:51:54 2020	1609084314	2	9	11	9
Sun Dec 27 15:51:54 2020	1609084314	2	10	11	10
Sun Dec 27 15:51:54 2020	1609084314	2	10	11	10
Sun Dec 27 15:51:54 2020	1609084314	2	10	12	10
Sun Dec 27 15:51:54 2020	1609084314	2	10	12	10
Sun Dec 27 15:51:54 2020	1609084314	2	10	12	10
Sun Dec 27 15:51:54 2020	1609084314	2	11	12	11
Sun Dec 27 15:51:54 2020	1609084314	2	11	12	11
Sun Dec 27 15:51:54 2020	1609084314	2	11	13	11
Sun Dec 27 15:51:54 2020	1609084314	2	11	13	11
Sun Dec 27 15:51:54 2020	1609084314	1	12	13	12
Sun Dec 27 15:51:54 2020	1609084314	2	12	13	12
Sun Dec 27 15:51:54 2020	1609084314	1	12	13	12
Sun Dec 27 15:51:54 2020	1609084314	1	12	14	12
Sun Dec 27 15:51:54 2020	1609084314	1	12	14	12
Sun Dec 27 15:51:54 2020	1609084314	2	13	14	13
Sun Dec 27 15:51:54 2020	1609084314	1	13	14	13
Sun Dec 27 15:51:54 2020	1609084314	1	13	14	13
Sun Dec 27 15:51:54 2020	1609084314	1	13	15	13
Sun Dec 27 15:51:54 2020	1609084314	1	13	15	13
Sun Dec 27 15:51:54 2020	1609084314	1	14	15	14
Sun Dec 27 15:51:54 2020	1609084314	5	11	15	11
Sun Dec 27 15:51:54 2020	1609084314	5	11	16	11
Sun Dec 27 15:51:54 2020	1609084314	5	11	16	11
Sun Dec 27 15:51:54 2020	1609084314	5	11	16	11
Sun Dec 27 15:51:54 2020	1609084314	5	12	16	12
