Percentage served,Time in ms
0,0.908
1,0.930
2,0.936
3,0.942
4,0.946
5,0.949
6,0.952
7,0.954
8,0.956
9,0.958
10,0.960
11,0.961
12,0.963
13,0.964
14,0.966
15,0.967
16,0.968
17,0.970
18,0.971
19,0.973
20,0.974
21,0.975
22,0.976
23,0.977
24,0.978
25,0.979
26,0.981
27,0.982
28,0.983
29,0.984
30,0.985
31,0.986
32,0.987
33,0.988
34,0.989
35,0.990
36,0.991
37,0.992
38,0.993
39,0.994
40,0.995
41,0.996
42,0.997
43,0.998
44,0.999
45,1.000
46,1.001
47,1.002
48,1.003
49,1.004
50,1.006
51,1.007
52,1.008
53,1.009
54,1.010
55,1.011
56,1.012
57,1.013
58,1.014
59,1.016
60,1.017
61,1.018
62,1.019
63,1.020
64,1.022
65,1.024
66,1.025
67,1.026
68,1.027
69,1.029
70,1.031
71,1.032
72,1.033
73,1.035
74,1.036
75,1.039
76,1.040
77,1.043
78,1.045
79,1.047
80,1.049
81,1.051
82,1.054
83,1.056
84,1.059
85,1.061
86,1.065
87,1.068
88,1.073
89,1.078
90,1.084
91,1.089
92,1.095
93,1.105
94,1.115
95,1.133
96,1.153
97,1.194
98,1.251
99,1.446
100,4.534
