starttime	seconds	ctime	dtime	ttime	wait
Sun Dec 27 16:38:00 2020	1609087080	1	7	8	1
Sun Dec 27 16:38:01 2020	1609087081	2	17	19	17
Sun Dec 27 16:38:01 2020	1609087081	2	17	19	17
Sun Dec 27 16:38:01 2020	1609087081	2	17	19	17
Sun Dec 27 16:38:01 2020	1609087081	2	18	20	18
Sun Dec 27 16:38:01 2020	1609087081	2	18	20	18
Sun Dec 27 16:38:01 2020	1609087081	2	18	20	18
Sun Dec 27 16:38:01 2020	1609087081	2	18	20	18
Sun Dec 27 16:38:01 2020	1609087081	2	18	20	18
Sun Dec 27 16:38:01 2020	1609087081	2	19	21	19
Sun Dec 27 16:38:01 2020	1609087081	2	19	21	19
Sun Dec 27 16:38:01 2020	1609087081	2	19	21	19
Sun Dec 27 16:38:01 2020	1609087081	2	19	21	19
Sun Dec 27 16:38:01 2020	1609087081	2	19	21	19
Sun Dec 27 16:38:01 2020	1609087081	2	19	21	19
Sun Dec 27 16:38:01 2020	1609087081	2	19	21	19
Sun Dec 27 16:38:01 2020	1609087081	2	20	21	20
Sun Dec 27 16:38:01 2020	1609087081	2	20	22	20
Sun Dec 27 16:38:01 2020	1609087081	2	20	22	20
Sun Dec 27 16:38:01 2020	1609087081	2	19	22	19
Sun Dec 27 16:38:01 2020	1609087081	2	20	22	20
Sun Dec 27 16:38:01 2020	1609087081	2	20	22	20
Sun Dec 27 16:38:01 2020	1609087081	2	19	22	19
Sun Dec 27 16:38:01 2020	1609087081	2	20	22	20
Sun Dec 27 16:38:01 2020	1609087081	2	21	22	21
Sun Dec 27 16:38:01 2020	1609087081	2	21	22	21
Sun Dec 27 16:38:01 2020	1609087081	2	21	22	21
Sun Dec 27 16:38:01 2020	1609087081	2	21	22	21
Sun Dec 27 16:38:01 2020	1609087081	2	21	22	21
Sun Dec 27 16:38:01 2020	1609087081	2	21	22	21
Sun Dec 27 16:38:01 2020	1609087081	2	21	23	21
Sun Dec 27 16:38:01 2020	1609087081	3	20	23	20
Sun Dec 27 16:38:01 2020	1609087081	3	20	23	20
Sun Dec 27 16:38:01 2020	1609087081	2	21	24	21
Sun Dec 27 16:38:01 2020	1609087081	2	21	24	21
Sun Dec 27 16:38:01 2020	1609087081	2	21	24	21
Sun Dec 27 16:38:01 2020	1609087081	2	21	24	21
Sun Dec 27 16:38:01 2020	1609087081	2	21	24	21
Sun Dec 27 16:38:01 2020	1609087081	2	21	24	21
Sun Dec 27 16:38:01 2020	1609087081	3	22	24	22
Sun Dec 27 16:38:01 2020	1609087081	2	22	25	22
Sun Dec 27 16:38:01 2020	1609087081	3	22	25	22
Sun Dec 27 16:38:01 2020	1609087081	3	23	25	23
Sun Dec 27 16:38:01 2020	1609087081	2	23	25	23
Sun Dec 27 16:38:01 2020	1609087081	2	23	25	23
Sun Dec 27 16:38:01 2020	1609087081	2	23	25	23
Sun Dec 27 16:38:01 2020	1609087081	3	22	26	22
Sun Dec 27 16:38:01 2020	1609087081	3	22	26	22
Sun Dec 27 16:38:01 2020	1609087081	3	22	26	22
Sun Dec 27 16:38:01 2020	1609087081	3	22	26	22
Sun Dec 27 16:38:01 2020	1609087081	2	24	26	24
Sun Dec 27 16:38:01 2020	1609087081	3	24	26	24
Sun Dec 27 16:38:01 2020	1609087081	2	24	26	24
Sun Dec 27 16:38:01 2020	1609087081	2	24	26	24
Sun Dec 27 16:38:01 2020	1609087081	2	24	26	24
Sun Dec 27 16:38:01 2020	1609087081	2	24	26	24
Sun Dec 27 16:38:01 2020	1609087081	2	24	27	24
Sun Dec 27 16:38:01 2020	1609087081	2	24	27	24
Sun Dec 27 16:38:01 2020	1609087081	2	24	27	24
Sun Dec 27 16:38:01 2020	1609087081	2	24	27	24
Sun Dec 27 16:38:01 2020	1609087081	2	25	27	25
Sun Dec 27 16:38:01 2020	1609087081	2	25	27	25
Sun Dec 27 16:38:01 2020	1609087081	2	25	27	25
Sun Dec 27 16:38:01 2020	1609087081	2	25	27	25
Sun Dec 27 16:38:01 2020	1609087081	2	25	27	25
Sun Dec 27 16:38:01 2020	1609087081	2	25	28	25
Sun Dec 27 16:38:01 2020	1609087081	2	25	28	25
Sun Dec 27 16:38:01 2020	1609087081	2	25	28	25
Sun Dec 27 16:38:01 2020	1609087081	2	26	28	26
Sun Dec 27 16:38:01 2020	1609087081	2	25	28	25
Sun Dec 27 16:38:01 2020	1609087081	2	26	28	26
Sun Dec 27 16:38:01 2020	1609087081	2	26	28	26
Sun Dec 27 16:38:01 2020	1609087081	2	26	28	26
Sun Dec 27 16:38:01 2020	1609087081	2	26	29	26
Sun Dec 27 16:38:01 2020	1609087081	2	26	29	26
Sun Dec 27 16:38:01 2020	1609087081	2	26	29	26
Sun Dec 27 16:38:01 2020	1609087081	2	26	29	26
Sun Dec 27 16:38:01 2020	1609087081	2	26	29	26
Sun Dec 27 16:38:01 2020	1609087081	2	26	29	26
Sun Dec 27 16:38:01 2020	1609087081	2	26	29	26
Sun Dec 27 16:38:01 2020	1609087081	2	26	29	26
