Percentage served,Time in ms
0,3.210
1,11.412
2,13.980
3,15.402
4,15.550
5,15.654
6,15.723
7,15.785
8,15.853
9,15.914
10,15.985
11,16.048
12,16.107
13,16.217
14,16.318
15,16.477
16,16.686
17,16.929
18,17.111
19,17.348
20,17.460
21,17.663
22,17.848
23,17.977
24,18.084
25,18.158
26,18.271
27,18.359
28,18.435
29,18.502
30,18.574
31,18.675
32,18.766
33,18.869
34,18.970
35,19.093
36,19.203
37,19.310
38,19.405
39,19.533
40,19.667
41,19.857
42,20.058
43,20.320
44,20.572
45,20.806
46,21.012
47,21.184
48,21.369
49,21.564
50,21.797
51,22.111
52,22.332
53,22.690
54,23.008
55,23.243
56,23.553
57,23.881
58,24.328
59,24.688
60,24.889
61,25.132
62,25.349
63,25.586
64,25.805
65,25.989
66,26.174
67,26.360
68,26.532
69,26.656
70,26.802
71,26.945
72,27.076
73,27.182
74,27.348
75,27.486
76,27.584
77,27.693
78,27.762
79,27.856
80,27.971
81,28.058
82,28.166
83,28.255
84,28.311
85,28.389
86,28.450
87,28.527
88,28.663
89,28.788
90,28.896
91,29.090
92,29.204
93,29.358
94,29.518
95,29.736
96,30.001
97,30.906
98,31.342
99,31.776
100,33.893
