Percentage served,Time in ms
0,2.169
1,2.211
2,2.220
3,2.226
4,2.232
5,2.237
6,2.242
7,2.246
8,2.249
9,2.254
10,2.257
11,2.262
12,2.266
13,2.269
14,2.272
15,2.276
16,2.280
17,2.283
18,2.286
19,2.290
20,2.293
21,2.296
22,2.300
23,2.303
24,2.307
25,2.311
26,2.315
27,2.318
28,2.322
29,2.325
30,2.328
31,2.331
32,2.334
33,2.337
34,2.340
35,2.344
36,2.347
37,2.350
38,2.353
39,2.357
40,2.360
41,2.363
42,2.368
43,2.371
44,2.375
45,2.378
46,2.382
47,2.386
48,2.389
49,2.393
50,2.396
51,2.399
52,2.403
53,2.406
54,2.410
55,2.413
56,2.416
57,2.420
58,2.423
59,2.426
60,2.429
61,2.432
62,2.435
63,2.438
64,2.441
65,2.444
66,2.448
67,2.451
68,2.454
69,2.457
70,2.460
71,2.463
72,2.466
73,2.470
74,2.474
75,2.477
76,2.480
77,2.485
78,2.488
79,2.492
80,2.497
81,2.501
82,2.506
83,2.510
84,2.515
85,2.519
86,2.524
87,2.529
88,2.535
89,2.540
90,2.548
91,2.555
92,2.563
93,2.575
94,2.590
95,2.605
96,2.633
97,2.685
98,2.779
99,3.142
100,16.832
