starttime	seconds	ctime	dtime	ttime	wait
Sun Dec 27 17:16:14 2020	1609089374	0	4	5	1
Sun Dec 27 17:16:14 2020	1609089374	4	14	18	14
Sun Dec 27 17:16:14 2020	1609089374	3	14	18	14
Sun Dec 27 17:16:14 2020	1609089374	3	14	18	14
Sun Dec 27 17:16:14 2020	1609089374	3	14	18	14
Sun Dec 27 17:16:14 2020	1609089374	4	14	18	14
Sun Dec 27 17:16:14 2020	1609089374	4	14	18	14
Sun Dec 27 17:16:15 2020	1609089375	0	18	18	18
Sun Dec 27 17:16:15 2020	1609089375	0	18	18	18
Sun Dec 27 17:16:15 2020	1609089375	0	18	18	18
Sun Dec 27 17:16:15 2020	1609089375	0	18	18	18
Sun Dec 27 17:16:15 2020	1609089375	0	18	19	18
Sun Dec 27 17:16:15 2020	1609089375	0	18	19	18
Sun Dec 27 17:16:15 2020	1609089375	0	18	19	18
Sun Dec 27 17:16:15 2020	1609089375	1	18	19	18
Sun Dec 27 17:16:14 2020	1609089374	3	15	19	15
Sun Dec 27 17:16:15 2020	1609089375	0	19	19	19
Sun Dec 27 17:16:14 2020	1609089374	3	16	19	16
Sun Dec 27 17:16:15 2020	1609089375	0	19	19	19
Sun Dec 27 17:16:15 2020	1609089375	0	18	19	18
Sun Dec 27 17:16:15 2020	1609089375	0	19	19	19
Sun Dec 27 17:16:15 2020	1609089375	0	18	19	18
Sun Dec 27 17:16:15 2020	1609089375	0	19	19	19
Sun Dec 27 17:16:15 2020	1609089375	0	19	19	18
Sun Dec 27 17:16:14 2020	1609089374	3	16	19	16
Sun Dec 27 17:16:14 2020	1609089374	3	16	19	16
Sun Dec 27 17:16:15 2020	1609089375	0	19	19	19
Sun Dec 27 17:16:15 2020	1609089375	0	19	19	19
Sun Dec 27 17:16:15 2020	1609089375	0	19	19	19
Sun Dec 27 17:16:15 2020	1609089375	0	19	19	19
Sun Dec 27 17:16:15 2020	1609089375	0	19	19	19
Sun Dec 27 17:16:15 2020	1609089375	0	19	19	19
Sun Dec 27 17:16:15 2020	1609089375	0	19	19	19
Sun Dec 27 17:16:15 2020	1609089375	0	19	19	19
Sun Dec 27 17:16:15 2020	1609089375	0	19	19	19
Sun Dec 27 17:16:14 2020	1609089374	3	16	19	16
Sun Dec 27 17:16:15 2020	1609089375	0	19	20	19
Sun Dec 27 17:16:15 2020	1609089375	0	19	20	19
Sun Dec 27 17:16:15 2020	1609089375	0	19	20	19
Sun Dec 27 17:16:15 2020	1609089375	0	19	20	19
Sun Dec 27 17:16:15 2020	1609089375	0	19	20	19
Sun Dec 27 17:16:14 2020	1609089374	3	16	20	16
Sun Dec 27 17:16:14 2020	1609089374	3	16	20	16
Sun Dec 27 17:16:15 2020	1609089375	0	19	20	19
Sun Dec 27 17:16:15 2020	1609089375	0	19	20	19
Sun Dec 27 17:16:15 2020	1609089375	0	19	20	19
Sun Dec 27 17:16:14 2020	1609089374	3	17	20	17
Sun Dec 27 17:16:15 2020	1609089375	0	19	20	19
Sun Dec 27 17:16:15 2020	1609089375	0	19	20	19
Sun Dec 27 17:16:15 2020	1609089375	0	20	20	20
Sun Dec 27 17:16:15 2020	1609089375	0	19	20	19
Sun Dec 27 17:16:15 2020	1609089375	0	20	20	20
Sun Dec 27 17:16:14 2020	1609089374	3	17	20	17
Sun Dec 27 17:16:15 2020	1609089375	0	20	20	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	20	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	20	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	20	20
Sun Dec 27 17:16:14 2020	1609089374	3	17	20	17
Sun Dec 27 17:16:15 2020	1609089375	0	20	20	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	20	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	20	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	20	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	20	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	20	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	20	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	20	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	20	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	20	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	20	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	20	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	20	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	20	20
Sun Dec 27 17:16:14 2020	1609089374	3	17	20	17
Sun Dec 27 17:16:14 2020	1609089374	3	17	20	17
Sun Dec 27 17:16:15 2020	1609089375	0	20	20	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	21	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	21	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	21	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	21	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	21	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	21	20
Sun Dec 27 17:16:14 2020	1609089374	3	18	21	18
Sun Dec 27 17:16:14 2020	1609089374	3	18	21	18
Sun Dec 27 17:16:15 2020	1609089375	0	20	21	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	21	20
Sun Dec 27 17:16:14 2020	1609089374	3	18	21	18
Sun Dec 27 17:16:15 2020	1609089375	0	20	21	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	21	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	21	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	21	20
Sun Dec 27 17:16:15 2020	1609089375	0	20	21	20
Sun Dec 27 17:16:14 2020	1609089374	3	18	21	18
Sun Dec 27 17:16:15 2020	1609089375	0	21	21	21
Sun Dec 27 17:16:15 2020	1609089375	0	20	21	20
Sun Dec 27 17:16:14 2020	1609089374	5	16	21	16
Sun Dec 27 17:16:14 2020	1609089374	5	16	21	16
Sun Dec 27 17:16:14 2020	1609089374	3	18	21	18
Sun Dec 27 17:16:15 2020	1609089375	0	21	21	21
Sun Dec 27 17:16:15 2020	1609089375	0	21	21	21
Sun Dec 27 17:16:15 2020	1609089375	0	21	21	21
Sun Dec 27 17:16:15 2020	1609089375	0	21	21	21
Sun Dec 27 17:16:14 2020	1609089374	3	18	21	18
Sun Dec 27 17:16:15 2020	1609089375	0	21	21	21
Sun Dec 27 17:16:15 2020	1609089375	0	21	21	21
Sun Dec 27 17:16:15 2020	1609089375	1	21	21	21
Sun Dec 27 17:16:15 2020	1609089375	0	21	21	21
Sun Dec 27 17:16:15 2020	1609089375	0	21	21	21
Sun Dec 27 17:16:15 2020	1609089375	0	21	21	21
Sun Dec 27 17:16:15 2020	1609089375	0	21	21	21
Sun Dec 27 17:16:15 2020	1609089375	0	21	21	21
Sun Dec 27 17:16:15 2020	1609089375	0	21	21	21
Sun Dec 27 17:16:15 2020	1609089375	0	21	21	21
Sun Dec 27 17:16:14 2020	1609089374	5	16	21	16
Sun Dec 27 17:16:15 2020	1609089375	0	21	21	21
Sun Dec 27 17:16:14 2020	1609089374	5	16	21	16
Sun Dec 27 17:16:14 2020	1609089374	5	16	21	16
Sun Dec 27 17:16:14 2020	1609089374	5	16	21	16
