Percentage served,Time in ms
0,14.970
1,23.479
2,23.649
3,23.805
4,23.919
5,23.992
6,24.077
7,24.165
8,24.242
9,24.309
10,24.378
11,24.452
12,24.503
13,24.549
14,24.594
15,24.652
16,24.719
17,24.775
18,24.832
19,24.895
20,24.944
21,25.024
22,25.078
23,25.170
24,25.258
25,25.335
26,25.410
27,25.482
28,25.593
29,25.708
30,25.843
31,25.944
32,26.043
33,26.233
34,26.426
35,26.686
36,26.907
37,27.320
38,27.763
39,28.230
40,28.594
41,28.901
42,29.255
43,29.805
44,30.720
45,31.701
46,32.550
47,33.576
48,35.777
49,38.103
50,39.915
51,40.705
52,41.463
53,41.796
54,42.424
55,42.797
56,43.142
57,43.400
58,43.640
59,43.865
60,44.013
61,44.179
62,44.403
63,44.504
64,44.592
65,44.706
66,44.841
67,44.975
68,45.035
69,45.173
70,45.275
71,45.467
72,45.675
73,45.814
74,46.060
75,46.308
76,46.529
77,46.820
78,47.162
79,47.415
80,47.808
81,48.083
82,48.574
83,49.109
84,49.878
85,51.566
86,54.058
87,76.387
88,213.594
89,234.934
90,247.500
91,252.770
92,260.393
93,476.535
94,1062.446
95,1939.134
96,3493.102
97,3577.171
98,3632.671
99,3710.083
100,7034.239
