Percentage served,Time in ms
0,10.001
1,21.010
2,21.280
3,21.422
4,21.523
5,21.622
6,21.707
7,21.784
8,21.866
9,21.931
10,21.977
11,22.030
12,22.085
13,22.145
14,22.203
15,22.253
16,22.300
17,22.359
18,22.406
19,22.455
20,22.513
21,22.565
22,22.609
23,22.657
24,22.711
25,22.769
26,22.831
27,22.888
28,22.943
29,22.987
30,23.033
31,23.089
32,23.139
33,23.180
34,23.224
35,23.262
36,23.304
37,23.346
38,23.387
39,23.421
40,23.462
41,23.495
42,23.537
43,23.569
44,23.602
45,23.638
46,23.670
47,23.706
48,23.739
49,23.781
50,23.815
51,23.845
52,23.880
53,23.915
54,23.947
55,23.984
56,24.020
57,24.053
58,24.087
59,24.125
60,24.165
61,24.208
62,24.254
63,24.291
64,24.324
65,24.372
66,24.420
67,24.457
68,24.512
69,24.562
70,24.609
71,24.669
72,24.731
73,24.796
74,24.854
75,24.930
76,25.020
77,25.136
78,25.265
79,25.421
80,25.558
81,25.694
82,25.878
83,26.106
84,26.362
85,26.591
86,26.905
87,27.299
88,27.656
89,28.268
90,29.192
91,29.982
92,30.563
93,31.265
94,33.479
95,37.571
96,226.233
97,252.765
98,1049.020
99,1735.360
100,1796.607
