Percentage served,Time in ms
0,0.995
1,1.049
2,1.062
3,1.070
4,1.076
5,1.082
6,1.087
7,1.092
8,1.096
9,1.099
10,1.102
11,1.105
12,1.109
13,1.112
14,1.115
15,1.116
16,1.119
17,1.122
18,1.125
19,1.127
20,1.129
21,1.131
22,1.134
23,1.136
24,1.138
25,1.140
26,1.141
27,1.143
28,1.145
29,1.147
30,1.149
31,1.151
32,1.153
33,1.155
34,1.157
35,1.160
36,1.161
37,1.163
38,1.165
39,1.167
40,1.169
41,1.171
42,1.173
43,1.175
44,1.177
45,1.179
46,1.181
47,1.183
48,1.185
49,1.187
50,1.189
51,1.191
52,1.194
53,1.195
54,1.198
55,1.200
56,1.203
57,1.205
58,1.207
59,1.210
60,1.212
61,1.215
62,1.217
63,1.220
64,1.222
65,1.225
66,1.227
67,1.229
68,1.233
69,1.236
70,1.239
71,1.242
72,1.245
73,1.249
74,1.252
75,1.255
76,1.259
77,1.263
78,1.267
79,1.273
80,1.279
81,1.284
82,1.289
83,1.296
84,1.303
85,1.310
86,1.320
87,1.329
88,1.339
89,1.351
90,1.367
91,1.387
92,1.410
93,1.435
94,1.469
95,1.533
96,1.618
97,1.774
98,1.973
99,2.351
100,18.165
