starttime	seconds	ctime	dtime	ttime	wait
Sun Dec 27 15:37:33 2020	1609083453	0	3	3	1
Sun Dec 27 15:37:33 2020	1609083453	2	5	7	5
Sun Dec 27 15:37:33 2020	1609083453	2	5	7	5
Sun Dec 27 15:37:33 2020	1609083453	2	5	7	5
Sun Dec 27 15:37:33 2020	1609083453	2	5	7	5
Sun Dec 27 15:37:33 2020	1609083453	2	5	7	5
Sun Dec 27 15:37:33 2020	1609083453	2	8	9	8
Sun Dec 27 15:37:33 2020	1609083453	2	8	10	8
Sun Dec 27 15:37:33 2020	1609083453	2	8	10	8
Sun Dec 27 15:37:33 2020	1609083453	2	8	10	8
Sun Dec 27 15:37:33 2020	1609083453	2	9	10	9
Sun Dec 27 15:37:33 2020	1609083453	2	9	11	9
Sun Dec 27 15:37:33 2020	1609083453	2	9	11	9
Sun Dec 27 15:37:33 2020	1609083453	2	9	11	9
Sun Dec 27 15:37:33 2020	1609083453	2	10	11	10
Sun Dec 27 15:37:33 2020	1609083453	2	10	11	10
Sun Dec 27 15:37:33 2020	1609083453	2	10	12	10
Sun Dec 27 15:37:33 2020	1609083453	2	10	12	10
Sun Dec 27 15:37:33 2020	1609083453	2	10	12	10
Sun Dec 27 15:37:33 2020	1609083453	2	11	12	11
Sun Dec 27 15:37:33 2020	1609083453	2	11	12	11
Sun Dec 27 15:37:33 2020	1609083453	2	11	13	11
Sun Dec 27 15:37:33 2020	1609083453	2	11	13	11
Sun Dec 27 15:37:33 2020	1609083453	2	11	13	11
Sun Dec 27 15:37:33 2020	1609083453	2	11	13	11
Sun Dec 27 15:37:33 2020	1609083453	2	11	14	11
Sun Dec 27 15:37:33 2020	1609083453	2	11	14	11
Sun Dec 27 15:37:33 2020	1609083453	2	12	14	12
Sun Dec 27 15:37:33 2020	1609083453	2	12	14	12
Sun Dec 27 15:37:33 2020	1609083453	2	12	14	12
Sun Dec 27 15:37:33 2020	1609083453	2	12	15	12
Sun Dec 27 15:37:33 2020	1609083453	2	13	15	13
Sun Dec 27 15:37:33 2020	1609083453	2	13	15	13
Sun Dec 27 15:37:33 2020	1609083453	2	13	15	13
Sun Dec 27 15:37:33 2020	1609083453	2	13	16	13
Sun Dec 27 15:37:33 2020	1609083453	2	14	16	14
Sun Dec 27 15:37:33 2020	1609083453	2	14	16	14
Sun Dec 27 15:37:33 2020	1609083453	2	14	16	13
Sun Dec 27 15:37:33 2020	1609083453	2	14	16	14
Sun Dec 27 15:37:33 2020	1609083453	2	14	17	14
Sun Dec 27 15:37:33 2020	1609083453	2	15	17	15
Sun Dec 27 15:37:33 2020	1609083453	2	15	17	15
Sun Dec 27 15:37:33 2020	1609083453	2	15	17	15
Sun Dec 27 15:37:33 2020	1609083453	2	15	17	15
Sun Dec 27 15:37:33 2020	1609083453	2	16	18	16
Sun Dec 27 15:37:33 2020	1609083453	2	16	18	16
Sun Dec 27 15:37:33 2020	1609083453	2	16	18	16
Sun Dec 27 15:37:33 2020	1609083453	2	16	18	16
Sun Dec 27 15:37:33 2020	1609083453	2	16	19	16
Sun Dec 27 15:37:33 2020	1609083453	2	17	19	17
Sun Dec 27 15:37:33 2020	1609083453	2	17	19	17
Sun Dec 27 15:37:33 2020	1609083453	2	17	19	17
Sun Dec 27 15:37:34 2020	1609083454	0	19	19	19
Sun Dec 27 15:37:34 2020	1609083454	0	19	19	19
Sun Dec 27 15:37:34 2020	1609083454	0	19	19	19
Sun Dec 27 15:37:34 2020	1609083454	0	19	20	19
Sun Dec 27 15:37:34 2020	1609083454	0	19	20	19
Sun Dec 27 15:37:33 2020	1609083453	2	18	20	18
Sun Dec 27 15:37:34 2020	1609083454	0	19	20	19
Sun Dec 27 15:37:34 2020	1609083454	0	20	20	20
Sun Dec 27 15:37:33 2020	1609083453	2	18	20	18
Sun Dec 27 15:37:34 2020	1609083454	0	20	20	20
Sun Dec 27 15:37:34 2020	1609083454	0	20	20	20
Sun Dec 27 15:37:34 2020	1609083454	0	20	20	20
Sun Dec 27 15:37:34 2020	1609083454	0	20	20	20
Sun Dec 27 15:37:34 2020	1609083454	0	20	20	20
Sun Dec 27 15:37:33 2020	1609083453	2	18	20	18
Sun Dec 27 15:37:34 2020	1609083454	0	20	20	20
Sun Dec 27 15:37:34 2020	1609083454	0	20	20	20
Sun Dec 27 15:37:34 2020	1609083454	0	20	20	20
Sun Dec 27 15:37:34 2020	1609083454	0	20	20	20
Sun Dec 27 15:37:34 2020	1609083454	0	20	20	20
Sun Dec 27 15:37:34 2020	1609083454	0	20	20	20
Sun Dec 27 15:37:33 2020	1609083453	2	18	20	18
Sun Dec 27 15:37:34 2020	1609083454	0	20	20	20
Sun Dec 27 15:37:34 2020	1609083454	0	20	20	20
Sun Dec 27 15:37:34 2020	1609083454	0	20	20	20
Sun Dec 27 15:37:34 2020	1609083454	0	20	20	20
Sun Dec 27 15:37:33 2020	1609083453	2	18	20	18
Sun Dec 27 15:37:34 2020	1609083454	0	20	20	20
Sun Dec 27 15:37:34 2020	1609083454	0	20	20	20
Sun Dec 27 15:37:34 2020	1609083454	0	20	20	20
Sun Dec 27 15:37:34 2020	1609083454	0	20	20	20
Sun Dec 27 15:37:34 2020	1609083454	0	20	21	20
Sun Dec 27 15:37:34 2020	1609083454	0	20	21	20
Sun Dec 27 15:37:34 2020	1609083454	0	20	21	20
Sun Dec 27 15:37:34 2020	1609083454	0	20	21	20
Sun Dec 27 15:37:34 2020	1609083454	0	20	21	20
Sun Dec 27 15:37:34 2020	1609083454	0	20	21	20
Sun Dec 27 15:37:34 2020	1609083454	0	20	21	20
Sun Dec 27 15:37:34 2020	1609083454	0	20	21	20
Sun Dec 27 15:37:34 2020	1609083454	0	20	21	20
Sun Dec 27 15:37:33 2020	1609083453	2	19	21	19
Sun Dec 27 15:37:34 2020	1609083454	0	21	21	21
Sun Dec 27 15:37:34 2020	1609083454	0	21	21	21
Sun Dec 27 15:37:34 2020	1609083454	0	21	21	21
Sun Dec 27 15:37:34 2020	1609083454	0	21	21	21
Sun Dec 27 15:37:34 2020	1609083454	0	21	21	21
Sun Dec 27 15:37:34 2020	1609083454	0	21	21	21
Sun Dec 27 15:37:33 2020	1609083453	2	19	21	19
Sun Dec 27 15:37:33 2020	1609083453	2	19	21	19
Sun Dec 27 15:37:34 2020	1609083454	0	21	21	21
Sun Dec 27 15:37:34 2020	1609083454	0	21	21	21
Sun Dec 27 15:37:34 2020	1609083454	0	21	21	21
Sun Dec 27 15:37:34 2020	1609083454	0	21	21	21
Sun Dec 27 15:37:33 2020	1609083453	2	19	21	19
Sun Dec 27 15:37:34 2020	1609083454	0	21	21	21
Sun Dec 27 15:37:34 2020	1609083454	0	21	21	21
Sun Dec 27 15:37:34 2020	1609083454	0	21	21	21
Sun Dec 27 15:37:34 2020	1609083454	0	21	21	21
Sun Dec 27 15:37:34 2020	1609083454	0	21	21	21
Sun Dec 27 15:37:34 2020	1609083454	0	21	22	21
Sun Dec 27 15:37:33 2020	1609083453	5	17	22	17
Sun Dec 27 15:37:34 2020	1609083454	0	21	22	21
Sun Dec 27 15:37:34 2020	1609083454	0	21	22	21
Sun Dec 27 15:37:34 2020	1609083454	0	21	22	21
Sun Dec 27 15:37:34 2020	1609083454	0	21	22	21
Sun Dec 27 15:37:34 2020	1609083454	0	21	22	21
Sun Dec 27 15:37:33 2020	1609083453	5	17	22	17
Sun Dec 27 15:37:34 2020	1609083454	0	21	22	21
Sun Dec 27 15:37:34 2020	1609083454	0	22	22	22
Sun Dec 27 15:37:34 2020	1609083454	0	22	22	22
Sun Dec 27 15:37:34 2020	1609083454	0	22	22	22
Sun Dec 27 15:37:34 2020	1609083454	0	22	22	22
Sun Dec 27 15:37:33 2020	1609083453	5	17	22	17
Sun Dec 27 15:37:34 2020	1609083454	0	22	22	22
Sun Dec 27 15:37:34 2020	1609083454	0	22	22	22
Sun Dec 27 15:37:34 2020	1609083454	0	22	22	22
Sun Dec 27 15:37:34 2020	1609083454	0	22	22	22
Sun Dec 27 15:37:34 2020	1609083454	0	22	22	22
Sun Dec 27 15:37:34 2020	1609083454	0	22	22	22
Sun Dec 27 15:37:33 2020	1609083453	5	17	22	17
Sun Dec 27 15:37:34 2020	1609083454	0	22	22	22
Sun Dec 27 15:37:34 2020	1609083454	0	22	22	22
Sun Dec 27 15:37:34 2020	1609083454	0	22	23	22
Sun Dec 27 15:37:34 2020	1609083454	0	22	23	22
Sun Dec 27 15:37:33 2020	1609083453	5	18	23	18
Sun Dec 27 15:37:34 2020	1609083454	0	22	23	22
Sun Dec 27 15:37:34 2020	1609083454	0	22	23	22
Sun Dec 27 15:37:34 2020	1609083454	0	22	23	22
Sun Dec 27 15:37:34 2020	1609083454	0	23	23	22
Sun Dec 27 15:37:34 2020	1609083454	0	23	23	23
Sun Dec 27 15:37:34 2020	1609083454	0	22	23	22
Sun Dec 27 15:37:34 2020	1609083454	0	22	23	22
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	22
Sun Dec 27 15:37:33 2020	1609083453	5	18	23	17
Sun Dec 27 15:37:34 2020	1609083454	0	23	23	23
Sun Dec 27 15:37:34 2020	1609083454	0	23	23	23
Sun Dec 27 15:37:34 2020	1609083454	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	5	18	23	18
Sun Dec 27 15:37:34 2020	1609083454	0	23	23	23
Sun Dec 27 15:37:34 2020	1609083454	0	23	23	23
Sun Dec 27 15:37:34 2020	1609083454	0	23	23	23
Sun Dec 27 15:37:34 2020	1609083454	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:34 2020	1609083454	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	5	18	23	18
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:34 2020	1609083454	1	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:34 2020	1609083454	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:34 2020	1609083454	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:34 2020	1609083454	0	23	23	23
Sun Dec 27 15:37:34 2020	1609083454	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
Sun Dec 27 15:37:33 2020	1609083453	0	23	23	23
