Percentage served,Time in ms
0,11.622
1,27.568
2,28.406
3,29.084
4,29.294
5,29.452
6,29.558
7,29.611
8,29.657
9,29.693
10,29.736
11,29.765
12,29.789
13,29.814
14,29.832
15,29.850
16,29.869
17,29.892
18,29.910
19,29.925
20,29.941
21,29.958
22,29.978
23,29.994
24,30.013
25,30.030
26,30.050
27,30.070
28,30.088
29,30.111
30,30.136
31,30.166
32,30.203
33,30.245
34,30.280
35,30.311
36,30.334
37,30.355
38,30.372
39,30.390
40,30.407
41,30.421
42,30.435
43,30.450
44,30.465
45,30.479
46,30.495
47,30.511
48,30.528
49,30.543
50,30.563
51,30.579
52,30.596
53,30.615
54,30.635
55,30.656
56,30.673
57,30.692
58,30.714
59,30.733
60,30.754
61,30.774
62,30.793
63,30.815
64,30.837
65,30.853
66,30.875
67,30.894
68,30.913
69,30.932
70,30.955
71,30.981
72,31.010
73,31.041
74,31.064
75,31.091
76,31.118
77,31.149
78,31.191
79,31.241
80,31.307
81,31.408
82,31.517
83,31.638
84,31.744
85,31.991
86,32.337
87,32.848
88,33.583
89,34.051
90,35.029
91,35.596
92,37.565
93,67.110
94,238.651
95,899.388
96,1437.709
97,3496.732
98,3519.892
99,3570.482
100,7024.122
