Percentage served,Time in ms
0,17.844
1,28.313
2,28.499
3,28.641
4,28.770
5,28.940
6,29.117
7,29.252
8,29.395
9,29.541
10,29.614
11,29.683
12,29.747
13,29.829
14,29.909
15,29.983
16,30.067
17,30.167
18,30.259
19,30.354
20,30.447
21,30.554
22,30.665
23,30.753
24,30.852
25,30.958
26,31.060
27,31.143
28,31.246
29,31.340
30,31.433
31,31.521
32,31.626
33,31.716
34,31.790
35,31.851
36,31.909
37,31.964
38,32.023
39,32.082
40,32.147
41,32.210
42,32.273
43,32.348
44,32.425
45,32.501
46,32.601
47,32.711
48,32.836
49,32.954
50,33.085
51,33.228
52,33.351
53,33.461
54,33.573
55,33.711
56,33.889
57,34.122
58,34.295
59,34.426
60,34.542
61,34.645
62,34.780
63,34.902
64,35.025
65,35.142
66,35.277
67,35.421
68,35.600
69,35.743
70,35.933
71,36.103
72,36.327
73,36.553
74,36.856
75,37.216
76,37.466
77,37.770
78,38.105
79,38.476
80,38.938
81,39.495
82,40.311
83,41.353
84,43.917
85,47.843
86,85.093
87,211.185
88,237.822
89,242.955
90,271.715
91,450.044
92,864.265
93,1047.799
94,1257.414
95,1884.088
96,7012.023
97,7270.453
98,7515.433
99,7539.506
100,14937.328
