starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 24 19:57:08 2020	1608839828	1	5	5	1
Thu Dec 24 19:57:10 2020	1608839830	2	11	13	11
Thu Dec 24 19:57:10 2020	1608839830	2	12	13	12
Thu Dec 24 19:57:10 2020	1608839830	2	12	13	12
Thu Dec 24 19:57:10 2020	1608839830	2	12	13	12
Thu Dec 24 19:57:10 2020	1608839830	2	12	13	12
Thu Dec 24 19:57:10 2020	1608839830	2	12	13	12
Thu Dec 24 19:57:10 2020	1608839830	2	12	13	12
Thu Dec 24 19:57:10 2020	1608839830	2	12	13	12
Thu Dec 24 19:57:10 2020	1608839830	2	12	13	12
Thu Dec 24 19:57:10 2020	1608839830	2	12	13	12
Thu Dec 24 19:57:10 2020	1608839830	2	12	14	12
Thu Dec 24 19:57:10 2020	1608839830	2	12	14	12
Thu Dec 24 19:57:10 2020	1608839830	2	12	14	12
Thu Dec 24 19:57:10 2020	1608839830	2	12	14	12
Thu Dec 24 19:57:10 2020	1608839830	2	12	14	12
Thu Dec 24 19:57:10 2020	1608839830	2	12	14	12
Thu Dec 24 19:57:10 2020	1608839830	2	12	14	12
Thu Dec 24 19:57:10 2020	1608839830	2	12	14	12
Thu Dec 24 19:57:10 2020	1608839830	2	13	14	13
Thu Dec 24 19:57:10 2020	1608839830	2	13	14	13
Thu Dec 24 19:57:10 2020	1608839830	1	13	14	13
Thu Dec 24 19:57:10 2020	1608839830	1	13	14	13
Thu Dec 24 19:57:10 2020	1608839830	1	13	15	13
Thu Dec 24 19:57:10 2020	1608839830	1	13	15	13
Thu Dec 24 19:57:10 2020	1608839830	2	13	15	13
Thu Dec 24 19:57:10 2020	1608839830	1	13	15	13
Thu Dec 24 19:57:10 2020	1608839830	2	13	15	13
Thu Dec 24 19:57:10 2020	1608839830	2	13	15	13
Thu Dec 24 19:57:10 2020	1608839830	2	13	15	13
Thu Dec 24 19:57:10 2020	1608839830	2	13	15	13
Thu Dec 24 19:57:10 2020	1608839830	1	14	15	14
Thu Dec 24 19:57:10 2020	1608839830	1	14	15	14
Thu Dec 24 19:57:10 2020	1608839830	1	14	15	14
Thu Dec 24 19:57:10 2020	1608839830	1	14	15	14
Thu Dec 24 19:57:10 2020	1608839830	1	14	15	14
Thu Dec 24 19:57:10 2020	1608839830	2	14	15	14
Thu Dec 24 19:57:10 2020	1608839830	2	14	15	14
Thu Dec 24 19:57:10 2020	1608839830	2	14	15	14
Thu Dec 24 19:57:10 2020	1608839830	2	14	15	14
Thu Dec 24 19:57:10 2020	1608839830	2	14	15	14
Thu Dec 24 19:57:10 2020	1608839830	2	14	16	14
Thu Dec 24 19:57:10 2020	1608839830	2	14	16	14
Thu Dec 24 19:57:10 2020	1608839830	2	14	16	14
Thu Dec 24 19:57:10 2020	1608839830	2	14	16	14
Thu Dec 24 19:57:10 2020	1608839830	1	14	16	14
Thu Dec 24 19:57:10 2020	1608839830	2	14	16	14
Thu Dec 24 19:57:10 2020	1608839830	1	14	16	14
Thu Dec 24 19:57:10 2020	1608839830	1	15	16	15
Thu Dec 24 19:57:10 2020	1608839830	1	15	16	15
Thu Dec 24 19:57:10 2020	1608839830	1	15	16	15
Thu Dec 24 19:57:10 2020	1608839830	2	15	16	15
Thu Dec 24 19:57:10 2020	1608839830	2	15	16	15
Thu Dec 24 19:57:10 2020	1608839830	2	15	16	15
Thu Dec 24 19:57:10 2020	1608839830	2	15	16	15
Thu Dec 24 19:57:10 2020	1608839830	2	15	16	15
Thu Dec 24 19:57:10 2020	1608839830	2	15	16	15
Thu Dec 24 19:57:10 2020	1608839830	2	15	17	15
Thu Dec 24 19:57:10 2020	1608839830	1	15	17	15
Thu Dec 24 19:57:10 2020	1608839830	2	15	17	15
Thu Dec 24 19:57:10 2020	1608839830	1	16	17	16
Thu Dec 24 19:57:10 2020	1608839830	1	16	17	16
Thu Dec 24 19:57:10 2020	1608839830	1	16	17	16
Thu Dec 24 19:57:10 2020	1608839830	1	16	17	16
Thu Dec 24 19:57:10 2020	1608839830	1	16	17	16
Thu Dec 24 19:57:10 2020	1608839830	1	16	17	16
Thu Dec 24 19:57:10 2020	1608839830	1	16	17	16
Thu Dec 24 19:57:10 2020	1608839830	1	16	17	16
Thu Dec 24 19:57:10 2020	1608839830	1	16	17	16
Thu Dec 24 19:57:10 2020	1608839830	2	15	17	15
Thu Dec 24 19:57:10 2020	1608839830	1	16	18	16
Thu Dec 24 19:57:10 2020	1608839830	1	16	18	16
Thu Dec 24 19:57:10 2020	1608839830	1	16	18	16
Thu Dec 24 19:57:10 2020	1608839830	2	16	18	16
Thu Dec 24 19:57:10 2020	1608839830	2	16	18	16
Thu Dec 24 19:57:10 2020	1608839830	2	16	18	16
Thu Dec 24 19:57:10 2020	1608839830	1	17	18	17
Thu Dec 24 19:57:10 2020	1608839830	1	17	18	17
Thu Dec 24 19:57:10 2020	1608839830	1	17	18	17
Thu Dec 24 19:57:10 2020	1608839830	1	17	18	17
Thu Dec 24 19:57:10 2020	1608839830	2	16	18	16
Thu Dec 24 19:57:10 2020	1608839830	1	17	18	17
Thu Dec 24 19:57:10 2020	1608839830	2	17	18	17
Thu Dec 24 19:57:10 2020	1608839830	1	17	18	17
Thu Dec 24 19:57:10 2020	1608839830	2	17	18	17
Thu Dec 24 19:57:10 2020	1608839830	2	17	18	17
Thu Dec 24 19:57:10 2020	1608839830	1	17	18	17
Thu Dec 24 19:57:10 2020	1608839830	1	17	18	17
Thu Dec 24 19:57:10 2020	1608839830	2	17	19	17
Thu Dec 24 19:57:10 2020	1608839830	2	17	19	17
Thu Dec 24 19:57:10 2020	1608839830	2	17	19	17
Thu Dec 24 19:57:10 2020	1608839830	1	18	19	18
Thu Dec 24 19:57:10 2020	1608839830	2	17	19	17
Thu Dec 24 19:57:10 2020	1608839830	1	18	19	18
Thu Dec 24 19:57:10 2020	1608839830	1	18	19	18
Thu Dec 24 19:57:10 2020	1608839830	2	17	19	17
Thu Dec 24 19:57:10 2020	1608839830	2	18	19	18
Thu Dec 24 19:57:10 2020	1608839830	1	18	19	18
Thu Dec 24 19:57:10 2020	1608839830	1	18	19	18
Thu Dec 24 19:57:10 2020	1608839830	1	18	19	18
Thu Dec 24 19:57:10 2020	1608839830	1	18	19	18
Thu Dec 24 19:57:10 2020	1608839830	2	18	19	18
Thu Dec 24 19:57:09 2020	1608839829	1	18	19	18
Thu Dec 24 19:57:09 2020	1608839829	1	18	20	18
Thu Dec 24 19:57:09 2020	1608839829	1	18	20	18
Thu Dec 24 19:57:09 2020	1608839829	1	18	20	18
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	18	20	18
Thu Dec 24 19:57:09 2020	1608839829	1	18	20	18
Thu Dec 24 19:57:10 2020	1608839830	1	18	20	18
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	18
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	18
Thu Dec 24 19:57:09 2020	1608839829	1	18	20	18
Thu Dec 24 19:57:09 2020	1608839829	1	18	20	18
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	18	20	18
Thu Dec 24 19:57:09 2020	1608839829	1	18	20	18
Thu Dec 24 19:57:09 2020	1608839829	1	18	20	18
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	18	20	18
Thu Dec 24 19:57:09 2020	1608839829	1	18	20	18
Thu Dec 24 19:57:09 2020	1608839829	1	18	20	18
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	18	20	18
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:10 2020	1608839830	2	18	20	18
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:10 2020	1608839830	2	18	20	18
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:10 2020	1608839830	2	18	20	18
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:10 2020	1608839830	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:10 2020	1608839830	1	19	20	19
Thu Dec 24 19:57:10 2020	1608839830	1	19	20	19
Thu Dec 24 19:57:10 2020	1608839830	1	19	20	19
Thu Dec 24 19:57:10 2020	1608839830	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:10 2020	1608839830	1	19	20	19
Thu Dec 24 19:57:10 2020	1608839830	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:10 2020	1608839830	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:10 2020	1608839830	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:10 2020	1608839830	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	20	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:10 2020	1608839830	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:10 2020	1608839830	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:10 2020	1608839830	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:10 2020	1608839830	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	2	19	20	18
Thu Dec 24 19:57:10 2020	1608839830	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	2	19	20	18
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	2	18	20	18
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	2	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:10 2020	1608839830	2	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	2	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	2	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	2	19	20	19
Thu Dec 24 19:57:10 2020	1608839830	2	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
Thu Dec 24 19:57:09 2020	1608839829	1	19	20	19
