Percentage served,Time in ms
0,13.295
1,17.133
2,20.420
3,20.772
4,20.908
5,20.982
6,21.031
7,21.100
8,21.149
9,21.187
10,21.232
11,21.260
12,21.291
13,21.325
14,21.361
15,21.390
16,21.415
17,21.439
18,21.464
19,21.495
20,21.524
21,21.555
22,21.581
23,21.608
24,21.631
25,21.654
26,21.679
27,21.702
28,21.722
29,21.750
30,21.771
31,21.791
32,21.810
33,21.834
34,21.861
35,21.890
36,21.914
37,21.947
38,21.975
39,22.010
40,22.042
41,22.066
42,22.090
43,22.122
44,22.141
45,22.173
46,22.196
47,22.228
48,22.254
49,22.285
50,22.316
51,22.354
52,22.385
53,22.413
54,22.442
55,22.488
56,22.524
57,22.560
58,22.588
59,22.638
60,22.675
61,22.727
62,22.765
63,22.815
64,22.880
65,22.935
66,23.012
67,23.108
68,23.285
69,23.598
70,24.022
71,26.119
72,26.688
73,27.098
74,27.319
75,27.588
76,27.807
77,28.132
78,28.543
79,29.378
80,29.882
81,30.464
82,33.358
83,55.189
84,67.398
85,74.278
86,229.271
87,257.567
88,482.248
89,876.610
90,884.398
91,904.655
92,912.364
93,919.245
94,934.953
95,941.457
96,947.910
97,1768.510
98,1773.999
99,1830.487
100,1834.834
