Percentage served,Time in ms
0,8.281
1,19.696
2,20.038
3,20.183
4,20.300
5,20.377
6,20.450
7,20.494
8,20.538
9,20.588
10,20.632
11,20.676
12,20.719
13,20.749
14,20.769
15,20.796
16,20.818
17,20.844
18,20.869
19,20.895
20,20.927
21,20.955
22,20.982
23,21.003
24,21.024
25,21.051
26,21.074
27,21.098
28,21.124
29,21.145
30,21.168
31,21.195
32,21.220
33,21.246
34,21.277
35,21.300
36,21.328
37,21.357
38,21.384
39,21.412
40,21.439
41,21.471
42,21.498
43,21.524
44,21.555
45,21.582
46,21.616
47,21.646
48,21.681
49,21.713
50,21.748
51,21.783
52,21.814
53,21.845
54,21.870
55,21.900
56,21.950
57,21.989
58,22.024
59,22.056
60,22.092
61,22.127
62,22.160
63,22.193
64,22.229
65,22.270
66,22.302
67,22.341
68,22.380
69,22.417
70,22.461
71,22.502
72,22.557
73,22.609
74,22.649
75,22.692
76,22.768
77,22.833
78,22.906
79,22.973
80,23.022
81,23.083
82,23.136
83,23.207
84,23.271
85,23.356
86,23.436
87,23.527
88,23.650
89,23.769
90,23.892
91,24.004
92,24.214
93,24.473
94,25.080
95,34.842
96,49.270
97,233.130
98,1056.424
99,1745.140
100,1803.974
