starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 24 21:40:59 2020	1608846059	1	10	11	10
Thu Dec 24 21:40:59 2020	1608846059	1	10	11	10
Thu Dec 24 21:40:59 2020	1608846059	1	10	11	10
Thu Dec 24 21:40:59 2020	1608846059	1	10	11	10
Thu Dec 24 21:40:59 2020	1608846059	1	10	12	10
Thu Dec 24 21:40:59 2020	1608846059	1	10	12	10
Thu Dec 24 21:40:59 2020	1608846059	1	11	12	11
Thu Dec 24 21:40:59 2020	1608846059	1	11	12	11
Thu Dec 24 21:40:59 2020	1608846059	1	11	12	11
Thu Dec 24 21:40:59 2020	1608846059	1	11	12	11
Thu Dec 24 21:40:59 2020	1608846059	2	10	12	10
Thu Dec 24 21:40:59 2020	1608846059	1	11	12	11
Thu Dec 24 21:40:59 2020	1608846059	1	11	12	11
Thu Dec 24 21:40:59 2020	1608846059	2	11	12	11
Thu Dec 24 21:40:59 2020	1608846059	2	11	12	11
Thu Dec 24 21:40:58 2020	1608846058	1	12	12	1
Thu Dec 24 21:40:59 2020	1608846059	2	11	12	11
Thu Dec 24 21:40:59 2020	1608846059	2	11	13	11
Thu Dec 24 21:40:59 2020	1608846059	1	11	13	11
Thu Dec 24 21:40:59 2020	1608846059	1	11	13	11
Thu Dec 24 21:40:59 2020	1608846059	2	11	13	11
Thu Dec 24 21:40:59 2020	1608846059	2	11	13	11
Thu Dec 24 21:40:59 2020	1608846059	2	11	13	11
Thu Dec 24 21:40:59 2020	1608846059	2	11	13	11
Thu Dec 24 21:40:59 2020	1608846059	2	11	13	11
Thu Dec 24 21:40:59 2020	1608846059	2	12	13	12
Thu Dec 24 21:40:59 2020	1608846059	2	12	13	12
Thu Dec 24 21:40:59 2020	1608846059	2	12	13	12
Thu Dec 24 21:40:59 2020	1608846059	2	12	13	12
Thu Dec 24 21:40:59 2020	1608846059	2	12	13	12
Thu Dec 24 21:40:59 2020	1608846059	2	12	13	12
Thu Dec 24 21:40:59 2020	1608846059	2	12	13	12
Thu Dec 24 21:40:59 2020	1608846059	2	12	13	12
Thu Dec 24 21:40:59 2020	1608846059	1	12	13	12
Thu Dec 24 21:40:59 2020	1608846059	2	12	13	12
Thu Dec 24 21:40:59 2020	1608846059	1	12	13	12
Thu Dec 24 21:40:59 2020	1608846059	1	12	14	12
Thu Dec 24 21:40:59 2020	1608846059	2	12	14	12
Thu Dec 24 21:40:59 2020	1608846059	1	12	14	12
Thu Dec 24 21:40:59 2020	1608846059	1	13	14	13
Thu Dec 24 21:40:59 2020	1608846059	2	12	14	12
Thu Dec 24 21:40:59 2020	1608846059	1	12	14	12
Thu Dec 24 21:40:59 2020	1608846059	1	12	14	12
Thu Dec 24 21:40:59 2020	1608846059	1	13	14	13
Thu Dec 24 21:40:59 2020	1608846059	1	13	14	13
Thu Dec 24 21:40:59 2020	1608846059	1	13	14	13
Thu Dec 24 21:40:59 2020	1608846059	1	13	14	13
Thu Dec 24 21:40:59 2020	1608846059	1	13	14	13
Thu Dec 24 21:40:59 2020	1608846059	1	13	14	13
Thu Dec 24 21:40:59 2020	1608846059	1	13	14	13
Thu Dec 24 21:40:59 2020	1608846059	1	13	14	13
Thu Dec 24 21:40:59 2020	1608846059	1	13	14	13
Thu Dec 24 21:40:59 2020	1608846059	1	13	14	13
Thu Dec 24 21:40:59 2020	1608846059	1	13	14	13
Thu Dec 24 21:40:59 2020	1608846059	1	13	15	13
Thu Dec 24 21:40:59 2020	1608846059	1	14	15	14
Thu Dec 24 21:40:59 2020	1608846059	1	13	15	13
Thu Dec 24 21:40:59 2020	1608846059	2	13	15	13
Thu Dec 24 21:40:59 2020	1608846059	1	14	15	14
Thu Dec 24 21:40:59 2020	1608846059	1	14	15	14
Thu Dec 24 21:40:59 2020	1608846059	2	13	15	13
Thu Dec 24 21:40:59 2020	1608846059	2	13	15	13
Thu Dec 24 21:40:59 2020	1608846059	1	14	15	14
Thu Dec 24 21:40:59 2020	1608846059	1	14	15	14
Thu Dec 24 21:40:59 2020	1608846059	1	14	15	14
Thu Dec 24 21:40:59 2020	1608846059	1	14	15	14
Thu Dec 24 21:40:59 2020	1608846059	1	14	15	14
Thu Dec 24 21:40:59 2020	1608846059	1	14	15	14
Thu Dec 24 21:40:59 2020	1608846059	1	14	15	14
Thu Dec 24 21:40:59 2020	1608846059	1	14	15	14
Thu Dec 24 21:40:59 2020	1608846059	1	14	16	14
Thu Dec 24 21:40:59 2020	1608846059	2	14	16	14
Thu Dec 24 21:40:59 2020	1608846059	1	14	16	14
Thu Dec 24 21:40:59 2020	1608846059	1	15	16	15
Thu Dec 24 21:40:59 2020	1608846059	1	15	16	15
Thu Dec 24 21:40:59 2020	1608846059	2	14	16	14
Thu Dec 24 21:40:59 2020	1608846059	2	14	16	14
Thu Dec 24 21:40:59 2020	1608846059	2	14	16	14
Thu Dec 24 21:40:59 2020	1608846059	2	14	16	14
Thu Dec 24 21:40:59 2020	1608846059	2	14	16	14
Thu Dec 24 21:40:59 2020	1608846059	1	15	16	15
Thu Dec 24 21:40:59 2020	1608846059	2	15	16	15
Thu Dec 24 21:40:59 2020	1608846059	2	15	17	15
