starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 24 23:44:14 2020	1608853454	2	12	14	12
Thu Dec 24 23:44:14 2020	1608853454	2	12	14	12
Thu Dec 24 23:44:14 2020	1608853454	2	13	14	13
Thu Dec 24 23:44:14 2020	1608853454	2	13	14	13
Thu Dec 24 23:44:14 2020	1608853454	2	13	14	12
Thu Dec 24 23:44:14 2020	1608853454	2	13	14	13
Thu Dec 24 23:44:14 2020	1608853454	2	12	14	12
Thu Dec 24 23:44:14 2020	1608853454	2	13	14	13
Thu Dec 24 23:44:14 2020	1608853454	2	13	15	13
Thu Dec 24 23:44:14 2020	1608853454	1	14	15	14
Thu Dec 24 23:44:14 2020	1608853454	2	13	15	13
Thu Dec 24 23:44:14 2020	1608853454	2	13	15	13
Thu Dec 24 23:44:14 2020	1608853454	2	13	15	13
Thu Dec 24 23:44:14 2020	1608853454	2	13	15	13
Thu Dec 24 23:44:14 2020	1608853454	2	13	15	13
Thu Dec 24 23:44:14 2020	1608853454	2	14	15	13
Thu Dec 24 23:44:14 2020	1608853454	2	14	15	14
Thu Dec 24 23:44:14 2020	1608853454	2	14	15	14
Thu Dec 24 23:44:14 2020	1608853454	2	14	15	14
Thu Dec 24 23:44:14 2020	1608853454	2	13	15	13
Thu Dec 24 23:44:14 2020	1608853454	2	14	16	14
Thu Dec 24 23:44:14 2020	1608853454	2	14	16	14
Thu Dec 24 23:44:14 2020	1608853454	2	14	16	14
Thu Dec 24 23:44:14 2020	1608853454	2	14	16	14
Thu Dec 24 23:44:14 2020	1608853454	2	14	16	14
Thu Dec 24 23:44:12 2020	1608853452	0	16	16	1
Thu Dec 24 23:44:14 2020	1608853454	2	15	17	14
Thu Dec 24 23:44:14 2020	1608853454	2	15	17	15
Thu Dec 24 23:44:14 2020	1608853454	2	15	17	15
Thu Dec 24 23:44:14 2020	1608853454	2	15	17	15
Thu Dec 24 23:44:14 2020	1608853454	2	15	17	15
Thu Dec 24 23:44:14 2020	1608853454	2	16	18	16
Thu Dec 24 23:44:14 2020	1608853454	2	16	18	16
Thu Dec 24 23:44:14 2020	1608853454	2	16	18	16
Thu Dec 24 23:44:14 2020	1608853454	2	16	18	16
