Percentage served,Time in ms
0,12.766
1,18.081
2,19.795
3,20.092
4,20.195
5,20.304
6,20.353
7,20.423
8,20.484
9,20.538
10,20.581
11,20.644
12,20.686
13,20.719
14,20.764
15,20.805
16,20.837
17,20.865
18,20.901
19,20.936
20,20.971
21,21.000
22,21.029
23,21.067
24,21.095
25,21.126
26,21.159
27,21.187
28,21.214
29,21.239
30,21.277
31,21.300
32,21.330
33,21.359
34,21.394
35,21.424
36,21.458
37,21.494
38,21.527
39,21.561
40,21.600
41,21.629
42,21.663
43,21.704
44,21.745
45,21.787
46,21.832
47,21.886
48,21.943
49,22.003
50,22.051
51,22.128
52,22.193
53,22.275
54,22.346
55,22.388
56,22.494
57,22.574
58,22.643
59,22.742
60,22.870
61,23.028
62,23.121
63,23.217
64,23.322
65,23.518
66,23.644
67,23.779
68,23.880
69,23.964
70,24.047
71,24.162
72,24.315
73,24.481
74,24.713
75,25.259
76,25.949
77,26.390
78,26.889
79,27.158
80,27.373
81,27.731
82,28.388
83,32.753
84,33.898
85,49.344
86,56.875
87,67.725
88,223.528
89,256.093
90,489.586
91,894.732
92,901.775
93,907.942
94,922.481
95,929.027
96,934.938
97,1766.435
98,1773.489
99,1780.435
100,3488.317
